"beta","gamma","pi","v","rho","ni0","ns0","R0","HealthCost","SocialActivityCost","TotalCost","PeakTime"
0.361241657747716,0.141597217587469,0.0047891062767912,28898.7036804406,0.00182633081134628,0.000522973920327649,0.999477026079672,2.5511917811843,8030.02025920047,1289.96111347182,9319.98137267229,71.1
0.396413243633546,0.164987902352515,0.00568809454524982,33598.9147754169,0.00166512175510082,0.000261692373654933,0.999738307626345,2.40268066919576,8169.07888750348,1489.99695726842,9659.0758447719,91.7
0.459328457467206,0.155294023097354,0.0081700718293906,24194.7473649576,0.00184824587040658,0.000357761132742288,0.999642238867258,2.95779868603993,9007.40726299637,1944.69563676813,10952.1028997645,68.8
0.338267510512192,0.141438908502233,0.00703258253155236,21777.0502158141,0.00191387758590704,0.000645297683415398,0.999354702316585,2.39161567417534,7612.48149871219,1212.72523024544,8825.20672895762,90.9
0.457744550818724,0.154979307394672,0.00414536760908759,22617.2142234759,0.00024566650354364,0.000558983117906296,0.999441016882094,2.95358495604207,7791.94344102792,1381.00245823085,9172.94589925878,44.9
0.339728194397195,0.163137414812444,0.00580932709355013,28790.3737591102,0.00180400472742622,0.000500576849466538,0.999499423150533,2.0824664580334,7023.29903428674,964.059557905944,7987.35859219268,108.9
0.443108208559167,0.163456422835468,0.00770836016017608,32181.1375167756,0.00167331278827925,0.000547933362643335,0.999452066637357,2.71086446694842,10700.0016696669,2316.69898117891,13016.7006508458,70.2
0.388532490698138,0.153559860125462,0.00839432653002256,40206.7169760519,0.00188366925865255,0.000569799893657596,0.999430200106342,2.5301696053949,11787.1389835131,2370.67630805474,14157.8152915679,98
0.487627972180779,0.162138501614357,0.00775683897694328,57025.7690897915,0.00181345244453561,0.000524088853638219,0.999475911146362,3.00747797300231,13266.8924046502,3768.05435411931,17034.9467587695,110.4
0.482836146034992,0.169418610365265,0.0109638332081977,36435.12862662,0.00159715730146941,0.000382174967726918,0.999617825032273,2.84995931081008,14803.8970436414,3576.40122130103,18380.2982649424,88
0.4643854468658,0.157680459271865,0.00446422545722755,24749.6928987392,0.00255952845644187,0.000377532897921234,0.999622467102079,2.94510460592413,5630.58970443845,1211.70177353625,6842.2914779747,53.1
0.391094840137668,0.127818559207041,0.010256818706372,53371.0374201695,0.00207842179504518,0.000493112352875644,0.999506887647124,3.05976567537559,16995.2774636433,4116.46890967188,21111.7463733152,125.1
0.458030754482813,0.133151821020302,0.00520670508648873,28820.1800496573,0.00139553337766833,0.000532136218737126,0.999467863781263,3.439913558621,9141.02901236637,2269.04832186014,11410.0773342265,64
0.487003893078841,0.166103464632561,0.0054466262332959,36504.2384903751,0.00239573166767436,0.000306461237268356,0.999693538762732,2.9319309754083,8275.37611439485,1993.07447059806,10268.4505849929,54.6
0.468126948932057,0.165732901840529,0.00606751244462467,28843.3978753391,0.00211741490785345,0.000827268650582388,0.999172731349418,2.82458669179941,8005.85018712862,1778.48941157789,9784.33959870651,67.8
0.409556575439685,0.121086090188877,0.00704779285352813,31680.3131918804,0.0016846233398291,0.000400484828276827,0.999599515171723,3.38235857480272,10926.8058218116,2865.58404113626,13792.3898629478,73.1
0.452931452289353,0.166549891727014,0.00911415519728173,31723.7744647796,0.00109293786347777,0.000513480803653824,0.999486519196346,2.71949412631104,13848.9090018976,2916.93009921372,16765.8391011113,67.5
0.452893796997386,0.126796055406536,0.00530422562108308,22424.8152835606,0.000808535362062756,0.000412654384442548,0.999587345615557,3.57182875717473,8879.91236598235,2083.3668142936,10963.279180276,57
0.400728059860907,0.147453146078025,0.00579195574875105,30073.551896567,0.00138763316969901,0.000606498179975339,0.999393501820025,2.7176636817831,9091.54612516565,1815.41332369454,10906.9594488602,73.4
0.337701383946227,0.143003812554438,0.00875941038886225,37492.9497295328,0.00226203786725033,0.000527729265170601,0.999472270734829,2.36148517940857,9489.01224176896,1887.95072387611,11376.9629656451,102.6
0.48378142954558,0.152907515418916,0.00440418532088478,45550.1306126449,0.00162537252805879,0.000556628031939808,0.99944337196806,3.16388261374975,10437.3555652359,2539.65732236692,12977.0128876029,52.4
0.463525255298097,0.123662526445547,0.0063717872283137,34693.0317456374,0.00284364715612034,0.000654302665187132,0.999345697334813,3.74830814654434,10439.7196288366,2787.84094724003,13227.5605760766,62.9
0.454097986043194,0.150270600953316,0.00203833015165596,31518.9146735063,0.00240934013465321,0.000696408055059513,0.99930359194494,3.02186843708882,4357.52155796034,829.72481112954,5187.24636908988,45.2
0.415694162262569,0.112865611434333,0.00468907041249372,43378.4489325608,0.00183044799332193,0.000638534313961873,0.999361465686038,3.68308962295772,10129.9069023639,2924.08273025807,13053.989632622,78.8
0.440037929079368,0.127705172682828,0.00740792817421754,39470.6288375886,0.00291541686418377,0.000422540883539855,0.99957745911646,3.44573301014407,11212.7029117896,2913.46860441542,14126.1715162051,69.1
0.388595859973003,0.170270276028452,0.00646186288681845,28656.4795763365,0.00217539760853356,0.000537427208341138,0.999462572791659,2.2822295766295,7841.09366121598,1286.25823399882,9127.3518952148,70
0.359150095224568,0.109756290918123,0.00736231545770902,42091.0320265596,0.00140034281596704,0.000522379914098939,0.999477620085901,3.27225065843826,13347.137987357,3688.9260209016,17036.0640082586,101.2
0.507478179017885,0.117092080247828,0.0066285725847188,36529.048713761,0.00176781713979628,0.000167937182731492,0.999832062817269,4.33400942184816,12411.8333145914,4089.08120858712,16500.9145231785,63.6
0.461671681918597,0.139586764312647,0.00487990932858258,32160.179377301,0.00179392772909458,0.000457638677645812,0.999542361322354,3.30741731991539,8990.03814526769,2134.43778178339,11124.4759270511,47
