"beta","gamma","pi","v","rho","ni0","ns0","R0","Health_mean","Health_q025","Health_q975","Social_mean","Social_q025","Social_q975","Total_mean","Total_q025","Total_q975","Peak_mean","Peak_q025","Peak_q975"
0.361241657747716,0.141597217587469,0.0047891062767912,28898.7036804406,0.00182633081134628,0.000522973920327649,0.999477026079672,2.5511917811843,8030.02025920047,5897.83493250584,9361.91324529768,1289.96111347182,1222.39458843789,1365.35529995568,9319.98137267229,7134.24055832237,10701.7838751859,71.1,38.475,97.75
0.396413243633546,0.164987902352515,0.00568809454524982,33598.9147754169,0.00166512175510082,0.000261692373654933,0.999738307626345,2.40268066919576,8169.07888750348,5197.74792263926,12016.9694910047,1489.99695726842,1409.68202851286,1568.17264520473,9659.0758447719,6690.8501740703,13560.3402575396,91.7,43.45,214.85
0.459328457467206,0.155294023097354,0.0081700718293906,24194.7473649576,0.00184824587040658,0.000357761132742288,0.999642238867258,2.95779868603993,9007.40726299637,1764.06555069828,11713.4439519691,1944.69563676813,471.900361927483,2241.94826063279,10952.1028997645,2236.39140633656,13885.1905078412,68.8,7.975,118.15
0.338267510512192,0.141438908502233,0.00703258253155236,21777.0502158141,0.00191387758590704,0.000645297683415398,0.999354702316585,2.39161567417534,7612.48149871219,5380.69751195227,9936.87308362413,1212.72523024544,1162.47925205774,1271.96621261061,8825.20672895762,6582.3528605983,11115.261679989,90.9,52.8,123.2
0.457744550818724,0.154979307394672,0.00414536760908759,22617.2142234759,0.00024566650354364,0.000558983117906296,0.999441016882094,2.95358495604207,7791.94344102792,5747.6900438914,9977.45129340211,1381.00245823085,1329.06259418841,1435.91802077437,9172.94589925878,7127.85202086804,11378.4388977152,44.9,27.675,89.3
0.339728194397195,0.163137414812444,0.00580932709355013,28790.3737591102,0.00180400472742622,0.000500576849466538,0.999499423150533,2.0824664580334,7023.29903428674,5080.9173244848,8243.45709086068,964.059557905944,861.676985536181,1070.23292373044,7987.35859219268,5976.05374114843,9233.8731646568,108.9,54,235.55
0.443108208559167,0.163456422835468,0.00770836016017608,32181.1375167756,0.00167331278827925,0.000547933362643335,0.999452066637357,2.71086446694842,10700.0016696669,8515.30103231353,13536.9853600707,2316.69898117891,2246.14207333758,2399.10760398576,13016.7006508458,10809.7397797418,15911.7329899673,70.2,57.225,99.15
0.388532490698138,0.153559860125462,0.00839432653002256,40206.7169760519,0.00188366925865255,0.000569799893657596,0.999430200106342,2.5301696053949,11787.1389835131,9481.8049638901,15002.9229317941,2370.67630805474,2184.82859031342,2546.17094365758,14157.8152915679,11910.4389274742,17313.6868940922,98,59.8,155.45
0.487627972180779,0.162138501614357,0.00775683897694328,57025.7690897915,0.00181345244453561,0.000524088853638219,0.999475911146362,3.00747797300231,13266.8924046502,9841.09085641567,15737.2689333276,3768.05435411931,3419.74094159187,4028.54406429688,17034.9467587695,13704.8049236772,19324.2160808854,110.4,42.725,240.125
0.482836146034992,0.169418610365265,0.0109638332081977,36435.12862662,0.00159715730146941,0.000382174967726918,0.999617825032273,2.84995931081008,14803.8970436414,12573.0186001163,17357.4235324925,3576.40122130103,3480.03905808375,3684.8242944841,18380.2982649424,16154.6097806968,20956.534297802,88,44.475,120.775
0.4643854468658,0.157680459271865,0.00446422545722755,24749.6928987392,0.00255952845644187,0.000377532897921234,0.999622467102079,2.94510460592413,5630.58970443845,3250.29719731203,6887.2760286011,1211.70177353625,1139.38741064077,1277.33997026853,6842.2914779747,4464.5464103364,8149.9586375625,53.1,27.475,83.525
0.391094840137668,0.127818559207041,0.010256818706372,53371.0374201695,0.00207842179504518,0.000493112352875644,0.999506887647124,3.05976567537559,16995.2774636433,12827.4203161594,20851.1250751297,4116.46890967188,3944.87061211135,4222.60166376933,21111.7463733152,16928.069611022,25032.7497117803,125.1,38.175,320.075
0.458030754482813,0.133151821020302,0.00520670508648873,28820.1800496573,0.00139553337766833,0.000532136218737126,0.999467863781263,3.439913558621,9141.02901236637,7427.26202948205,10847.8848245594,2269.04832186014,2222.03217185047,2308.77918540173,11410.0773342265,9705.99394200919,13148.7417971946,64,35.125,123.4
0.487003893078841,0.166103464632561,0.0054466262332959,36504.2384903751,0.00239573166767436,0.000306461237268356,0.999693538762732,2.9319309754083,8275.37611439485,6891.91576305517,9317.8007115078,1993.07447059806,1883.97122391341,2103.27614095441,10268.4505849929,8897.22959312773,11344.2659254563,54.6,36.9,86.625
