Laissez-faire;t;Ns;Ni;a_t;Utility;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;Utility;Lambda_s;Lambda_i
;222;0,542296;0,00713735;0,754415;-0,0362275;-56,2449;-194,556;;;;222;0,98897;0,000609216;0,576341;-0,127397;-167,365;-2532,53
;223;0,541324;0,00709349;0,755138;-0,0359927;-56,0711;-194,555;;;;223;0,988882;0,000610805;0,576295;-0,127431;-167,356;-2527
;224;0,540357;0,00705002;0,755859;-0,0357596;-55,898;-194,553;;;;224;0,988793;0,000612376;0,576249;-0,127464;-167,346;-2521,56
;225;0,539396;0,00700692;0,756576;-0,0355282;-55,7254;-194,552;;;;225;0,988704;0,00061393;0,576205;-0,127497;-167,337;-2516,21
;226;0,538441;0,00696421;0,757292;-0,0352985;-55,5536;-,195;;;;226;0,988614;0,000615466;0,576161;-0,127529;-167,327;-2510,94
;227;0,537491;0,00692186;0,758005;-0,0350704;-55,3823;-194,549;;;;227;0,988525;0,000616984;0,576118;-0,127561;-167,318;-2505,75
;228;0,536547;0,00687988;0,758715;-0,0348441;-55,2117;-194,547;;;;228;0,988435;0,000618484;0,576076;-0,127592;-167,308;-2500,65
;229;0,535609;0,00683827;0,759423;-0,0346194;-55,0417;-194,546;;;;229;0,988345;0,000619966;0,576035;-0,127622;-167,298;-2495,63
;230;0,534676;0,00679701;0,760129;-0,0343963;-54,8723;-194,544;;;;230;0,988255;0,000621431;0,575994;-0,127652;-167,289;-2490,68
;231;0,533749;0,00675611;0,760832;-0,0341748;-54,7035;-194,543;;;;231;0,988165;0,000622879;0,575954;-0,127682;-167,279;-2485,82
;232;0,532827;0,00671556;0,761532;-0,033955;-54,5354;-194,541;;;;232;0,988074;0,000624309;0,575914;-0,127711;-167,269;-2481,03
;233;0,531911;0,00667535;0,762231;-0,0337367;-54,3678;-,195;;;;233;0,987983;0,000625722;0,575876;-0,127739;-167,259;-2476,32
;234;0,531;0,00663549;0,762927;-0,03352;-54,2009;-194,538;;;;234;0,987892;0,000627117;0,575838;-0,127767;-167,249;-2471,68
;235;0,530095;0,00659596;0,76362;-0,0333049;-54,0346;-194,537;;;;235;0,987801;0,000628496;0,575801;-0,127794;-167,239;-2467,12
;236;0,529194;0,00655677;0,764312;-0,0330913;-53,8688;-194,536;;;;236;0,98771;0,000629857;0,575764;-0,127821;-167,229;-2462,63
;237;0,528299;0,00651791;0,765001;-0,0328793;-53,7037;-194,534;;;;237;0,987619;0,000631201;0,575728;-0,127848;-167,218;-2458,22
;238;0,527856;0,00649869;0,765343;-0,0327743;-53,6217;-194,534;;;;238;0,987527;0,000632529;0,575693;-0,127874;-167,208;-2453,87
;239;0,526969;0,00646031;0,766028;-0,0325646;-53,4575;-194,532;;;;239;0,987435;0,000633839;0,575659;-0,127899;-167,198;-2449,59
;240;0,526086;0,00642226;0,766711;-0,0323563;-53,2938;-194,531;;;;240;0,987343;0,000635133;0,575625;-0,127924;-167,187;-2445,38
;241;0,525209;0,00638453;0,767392;-0,0321496;-53,1307;-194,529;;;;241;0,987251;0,00063641;0,575592;-0,127948;-167,177;-2441,24
;242;0,524337;0,00634711;0,76807;-0,0319443;-52,9682;-194,528;;;;242;0,987159;0,00063767;0,57556;-0,127972;-167,166;-2437,17
;243;0,52347;0,00631;0,768747;-0,0317405;-52,8063;-194,527;;;;243;0,987067;0,000638914;0,575528;-0,127996;-167,156;-2433,16
;244;0,522608;0,0062732;0,769421;-0,0315381;-52,645;-194,525;;;;244;0,986974;0,000640142;0,575497;-0,128019;-167,145;-2429,22
;245;0,521751;0,0062367;0,770092;-0,0313372;-52,4843;-194,524;;;;245;0,986881;0,000641353;0,575466;-0,128041;-167,134;-2425,34
;246;0,520899;0,0062005;0,770762;-0,0311377;-52,3241;-194,523;;;;246;0,986788;0,000642548;0,575436;-0,128063;-167,124;-2421,53
;247;0,520052;0,0061646;0,771429;-0,0309397;-52,1645;-194,521;;;;247;0,986695;0,000643727;0,575407;-0,128085;-167,113;-2417,77
;248;0,519209;0,00612899;0,772094;-0,030743;-52,0054;-,195;;;;248;0,986602;0,00064489;0,575378;-0,128106;-167,102;-2414,08
;249;0,518372;0,00609367;0,772757;-0,0305478;-51,847;-194,519;;;;249;0,986509;0,000646037;0,57535;-0,128126;-167,091;-2410,45
;250;0,517539;0,00605864;0,773417;-0,0303539;-51,6891;-194,518;;;;250;0,986415;0,000647169;0,575323;-0,128147;-,167;-2406,88
;251;0,51671;0,0060239;0,774075;-0,0301614;-51,5317;-194,516;;;;251;0,986322;0,000648284;0,575296;-0,128166;-167,069;-2403,37
;252;0,515887;0,00598943;0,774732;-0,0299702;-51,3749;-194,515;;;;252;0,986228;0,000649384;0,57527;-0,128186;-167,058;-2399,91
;253;0,515068;0,00595525;0,775385;-0,0297805;-51,2187;-194,514;;;;253;0,986134;0,000650468;0,575244;-0,128205;-167,047;-2396,51
;254;0,514253;0,00592134;0,776037;-0,029592;-51,063;-194,513;;;;254;0,98604;0,000651537;0,575219;-0,128223;-167,035;-2393,17
;255;0,513443;0,0058877;0,776687;-0,0294049;-50,9079;-194,511;;;;255;0,985946;0,00065259;0,575195;-0,128241;-167,024;-2389,89
;256;0,512638;0,00585433;0,777334;-0,0292191;-50,7533;-,195;;;;256;0,985851;0,000653629;0,575171;-0,128259;-167,013;-2386,65
;257;0,511837;0,00582122;0,77798;-0,0290346;-50,5993;-194,509;;;;257;0,985757;0,000654652;0,575148;-0,128276;-167,001;-2383,48
;258;0,511041;0,00578838;0,778623;-0,0288514;-50,4458;-194,508;;;;258;0,985662;0,00065566;0,575125;-0,128293;-,167;-2380,35
;259;0,510249;0,0057558;0,779264;-0,0286694;-50,2928;-194,507;;;;259;0,985568;0,000656653;0,575103;-0,128309;-166,978;-2377,28
;260;0,509461;0,00572348;0,779903;-0,0284888;-50,1404;-194,505;;;;260;0,985473;0,000657631;0,575082;-0,128325;-166,967;-2374,26
;261;0,508678;0,00569141;0,78054;-0,0283094;-49,9885;-194,504;;;;261;0,985378;0,000658595;0,575061;-0,12834;-166,955;-2371,29
;262;0,507899;0,00565959;0,781174;-0,0281313;-49,8371;-194,503;;;;262;0,985283;0,000659544;0,57504;-0,128356;-166,944;-2368,37
;263;0,507124;0,00562803;0,781807;-0,0279544;-49,6863;-194,502;;;;263;0,985187;0,000660478;0,57502;-0,12837;-166,932;-2365,51
;264;0,506354;0,00559671;0,782438;-0,0277787;-49,536;-194,501;;;;264;0,985092;0,000661398;0,575001;-0,128385;-,167;-2362,69
;265;0,505588;0,00556564;0,783066;-0,0276043;-49,3863;-,195;;;;265;0,984997;0,000662304;0,574982;-0,128399;-166,908;-2359,92
;266;0,504826;0,0055348;0,783692;-0,0274311;-49,237;-194,498;;;;266;0,984901;0,000663195;0,574964;-0,128412;-166,897;-2357,19
;267;0,504068;0,00550421;0,784317;-0,027259;-49,0883;-194,497;;;;267;0,984805;0,000664072;0,574946;-0,128425;-166,885;-2354,52
;268;0,503314;0,00547385;0,784939;-0,0270882;-48,9401;-194,496;;;;268;0,98471;0,000664936;0,574929;-0,128438;-166,873;-2351,89
;269;0,502564;0,00544373;0,785559;-0,0269186;-48,7924;-194,495;;;;269;0,984614;0,000665785;0,574912;-0,12845;-166,861;-2349,3
;270;0,501819;0,00541384;0,786178;-0,0267501;-48,6452;-194,494;;;;270;0,984518;0,000666621;0,574896;-0,128462;-166,849;-2346,76
;271;0,501077;0,00538418;0,786794;-0,0265828;-48,4985;-194,493;;;;271;0,984421;0,000667443;0,57488;-0,128474;-166,837;-2344,27
;272;0,500339;0,00535475;0,787408;-0,0264167;-48,3524;-194,492;;;;272;0,984325;0,000668251;0,574865;-0,128485;-166,825;-2341,82
;273;0,499606;0,00532554;0,788021;-0,0262517;-48,2067;-194,491;;;;273;0,984229;0,000669046;0,57485;-0,128496;-166,812;-2339,41
;274;0,498876;0,00529655;0,788631;-0,0260878;-48,0616;-,194;;;;274;0,984133;0,000669827;0,574835;-0,128507;-,167;-2337,05
;275;0,49815;0,00526778;0,789239;-0,0259251;-47,917;-194,488;;;;275;0,984036;0,000670595;0,574822;-0,128517;-166,788;-2334,72
;276;0,497428;0,00523924;0,789845;-0,0257634;-47,7728;-194,487;;;;276;0,983939;0,00067135;0,574808;-0,128527;-166,776;-2332,44
;277;0,49671;0,00521091;0,79045;-0,0256029;-476,292;-194,486;;;;277;0,983843;0,000672092;0,574795;-0,128536;-166,763;-2330,2
;278;0,495996;0,00518279;0,791052;-0,0254435;-47,486;-194,485;;;;278;0,983746;0,000672821;0,574783;-0,128546;-166,751;-2328,01
;279;0,495285;0,00515488;0,791653;-0,0252852;-47,3434;-194,484;;;;279;0,983649;0,000673538;0,574771;-0,128554;-166,739;-2325,85
;280;0,494578;0,00512718;0,792251;-0,025128;-47,2012;-194,483;;;;280;0,983552;0,000674241;0,57476;-0,128563;-166,726;-2323,73
;281;0,493875;0,00509969;0,792848;-0,0249718;-47,0595;-194,482;;;;281;0,983455;0,000674932;0,574749;-0,128571;-166,714;-2321,65
;282;0,493176;0,00507241;0,793442;-0,0248168;-46,9183;-194,481;;;;282;0,983358;0,00067561;0,574738;-0,128579;-166,701;-2319,61
;283;0,492481;0,00504532;0,794035;-0,0246627;-46,7776;-,194;;;;283;0,983261;0,000676276;0,574728;-0,128586;-166,689;-2317,6
;284;0,491789;0,00501844;0,794626;-0,0245097;-46,6374;-194,479;;;;284;0,983163;0,000676929;0,574718;-0,128593;-166,676;-2315,64
;285;0,4911;0,00499176;0,795215;-0,0243578;-46,4976;-194,478;;;;285;0,983066;0,000677571;0,574709;-0,1286;-166,664;-2313,71
;286;0,490416;0,00496527;0,795802;-0,0242069;-46,3584;-194,477;;;;286;0,982968;0,0006782;0,5747;-0,128607;-166,651;-2311,81
;287;0,489734;0,00493898;0,796387;-0,024057;-46,2196;-194,476;;;;287;0,982871;0,000678817;0,574692;-0,128613;-166,638;-2309,96
;288;0,489057;0,00491289;0,79697;-0,0239082;-46,0813;-194,475;;;;288;0,982773;0,000679422;0,574684;-0,128619;-166,626;-2308,13
;289;0,488383;0,00488698;0,797552;-0,0237603;-45,9434;-194,474;;;;289;0,982676;0,000680016;0,574677;-0,128624;-166,613;-2306,35
;290;0,487712;0,00486127;0,798131;-0,0236135;-45,8061;-194,473;;;;290;0,982578;0,000680597;0,57467;-0,12863;-,167;-2304,6
;291;0,487045;0,00483574;0,798709;-0,0234676;-45,6692;-194,472;;;;291;0,98248;0,000681168;0,574663;-0,128635;-166,587;-2302,88
;292;0,486381;0,0048104;0,799285;-0,0233228;-45,5327;-194,471;;;;292;0,982382;0,000681726;0,574657;-0,128639;-166,574;-2301,19
;293;0,485721;0,00478524;0,799859;-0,0231789;-45,3968;-,194;;;;293;0,982284;0,000682274;0,574651;-0,128644;-166,561;-2299,54
;294;0,485064;0,00476026;0,800431;-0,023036;-45,2612;-194,469;;;;294;0,982186;0,00068281;0,574645;-0,128648;-166,549;-2297,93
;295;0,484411;0,00473546;0,801001;-0,022894;-45,1262;-194,468;;;;295;0,982088;0,000683334;0,57464;-0,128651;-166,536;-2296,34
;296;0,483761;0,00471084;0,80157;-0,022753;-44,9916;-194,468;;;;296;0,98199;0,000683848;0,574635;-0,128655;-166,523;-2294,79
;297;0,483114;0,0046864;0,802137;-0,022613;-44,8575;-194,467;;;;297;0,981892;0,000684351;0,574631;-0,128658;-,167;-2293,27
;298;0,48247;0,00466214;0,802701;-0,0224739;-44,7238;-194,466;;;;298;0,981793;0,000684843;0,574627;-0,128661;-166,497;-2291,77
;299;0,48183;0,00463805;0,803265;-0,0223357;-44,5905;-194,465;;;;299;0,981695;0,000685324;0,574624;-0,128664;-166,483;-2290,32
;300;0,481193;0,00461413;0,803826;-0,0221985;-44,4578;-194,464;;;;300;0,981597;0,000685794;0,57462;-0,128666;-,166;-2288,89
;301;0,48056;0,00459038;0,804386;-0,0220621;-44,3254;-194,463;;;;301;0,981498;0,000686254;0,574618;-0,128668;-166,457;-2287,49
;302;0,479929;0,0045668;0,804943;-0,0219267;-44,1935;-194,462;;;;302;0,9814;0,000686703;0,574615;-0,12867;-166,444;-2286,12
;303;0,479302;0,00454338;0,805499;-0,0217922;-44,0621;-194,461;;;;303;0,981301;0,000687142;0,574613;-0,128671;-166,431;-2284,78
;304;0,478678;0,00452013;0,806054;-0,0216586;-43,9311;-,194;;;;304;0,981202;0,000687571;0,574611;-0,128673;-166,418;-2283,46
;305;0,478057;0,00449705;0,806606;-0,0215259;-43,8005;-194,459;;;;305;0,981104;0,000687989;0,57461;-0,128674;-166,404;-2282,18
;306;0,477439;0,00447412;0,807157;-0,0213941;-43,6704;-194,459;;;;306;0,981005;0,000688398;0,574609;-0,128674;-166,391;-2280,93
;307;0,476824;0,00445136;0,807706;-0,0212631;-43,5407;-194,458;;;;307;0,980906;0,000688796;0,574608;-0,128675;-166,378;-2279,7
;308;0,476212;0,00442876;0,808253;-0,0211331;-43,4115;-194,457;;;;308;0,980807;0,000689185;0,574608;-0,128675;-166,364;-2278,5
;309;0,475604;0,00440632;0,808799;-0,0210039;-43,2827;-194,456;;;;309;0,980708;0,000689563;0,574608;-0,128675;-166,351;-2277,33
;310;0,474998;0,00438403;0,809343;-0,0208755;-43,1543;-194,455;;;;310;0,98061;0,000689933;0,574608;-0,128675;-166,338;-2276,18
;311;0,474395;0,00436189;0,809885;-0,020748;-43,0264;-194,454;;;;311;0,980511;0,000690292;0,574609;-0,128674;-166,324;-2275,06
;312;0,473796;0,00433991;0,810425;-0,0206214;-42,8988;-194,453;;;;312;0,980412;0,000690642;0,57461;-0,128674;-166,311;-2273,97
;313;0,473199;0,00431809;0,810964;-0,0204956;-42,7717;-194,453;;;;313;0,980313;0,000690982;0,574612;-0,128673;-166,297;-2272,9
;314;0,472606;0,00429641;0,811501;-0,0203706;-42,6451;-194,452;;;;314;0,980214;0,000691314;0,574613;-0,128671;-166,284;-2271,86
;315;0,472015;0,00427488;0,812037;-0,0202464;-42,5188;-194,451;;;;315;0,980114;0,000691635;0,574615;-0,12867;-,166;-2270,84
;316;0,471427;0,0042535;0,81257;-0,0201231;-42,393;-,194;;;;316;0,980015;0,000691948;0,574618;-0,128668;-166,257;-2269,85
;317;0,470842;0,00423227;0,813102;-0,0200006;-42,2676;-194,449;;;;317;0,979916;0,000692252;0,57462;-0,128666;-166,243;-2268,88
;318;0,47026;0,00421118;0,813633;-0,0198789;-42,1426;-194,449;;;;318;0,979817;0,000692547;0,574623;-0,128664;-,166;-2267,93
;319;0,469681;0,00419023;0,814162;-0,019758;-42,018;-194,448;;;;319;0,979718;0,000692833;0,574626;-0,128662;-166,216;-2267,01
;320;0,469105;0,00416943;0,814689;-0,0196379;-41,8938;-194,447;;;;320;0,979618;0,00069311;0,57463;-0,128659;-166,202;-2266,12
;321;0,468531;0,00414877;0,815214;-0,0195186;-41,7701;-194,446;;;;321;0,979519;0,000693379;0,574634;-0,128656;-166,189;-2265,25
;322;0,467961;0,00412825;0,815738;-0,0194001;-41,6468;-194,445;;;;322;0,97942;0,000693638;0,574638;-0,128653;-166,175;-2264,39
;323;0,467393;0,00410787;0,81626;-0,0192823;-41,5238;-194,445;;;;323;0,97932;0,00069389;0,574642;-0,12865;-166,161;-2263,57
;324;0,466828;0,00408762;0,816781;-0,0191654;-41,4013;-194,444;;;;324;0,979221;0,000694133;0,574647;-0,128646;-166,148;-2262,76
;325;0,466265;0,00406751;0,8173;-0,0190492;-41,2792;-194,443;;;;325;0,979122;0,000694368;0,574652;-0,128643;-166,134;-2261,98
;326;0,465705;0,00404754;0,817817;-0,0189337;-41,1575;-194,442;;;;326;0,979022;0,000694594;0,574657;-0,128639;-,166;-2261,22
;327;0,465149;0,0040277;0,818333;-0,018819;-41,0362;-194,442;;;;327;0,978923;0,000694812;0,574663;-0,128635;-166,106;-2260,48
;328;0,464594;0,00400799;0,818847;-0,0187051;-40,9152;-194,441;;;;328;0,978823;0,000695023;0,574669;-0,12863;-166,093;-2259,76
;329;0,464043;0,00398842;0,819359;-0,0185919;-40,7947;-,194;;;;329;0,978724;0,000695225;0,574675;-0,128626;-166,079;-2259,06
;330;0,463494;0,00396897;0,81987;-0,0184794;-40,6746;-194,439;;;;330;0,978624;0,000695419;0,574681;-0,128621;-166,065;-2258,39
;331;0,462947;0,00394966;0,82038;-0,0183677;-40,5549;-194,439;;;;331;0,978525;0,000695606;0,574688;-0,128616;-166,051;-2257,73
;332;0,462404;0,00393047;0,820887;-0,0182568;-40,4356;-194,438;;;;332;0,978425;0,000695785;0,574695;-0,128611;-166,037;-2257,1
;333;0,461863;0,00391141;0,821394;-0,0181465;-40,3166;-194,437;;;;333;0,978326;0,000695956;0,574702;-0,128606;-166,023;-2256,48
;334;0,461324;0,00389247;0,821898;-0,0180369;-40,1981;-194,436;;;;334;0,978226;0,000696119;0,57471;-0,1286;-166,009;-2255,88
;335;0,460788;0,00387366;0,822401;-0,0179281;-40,0799;-194,436;;;;335;0,978126;0,000696276;0,574717;-0,128594;-165,995;-2255,31
;336;0,460255;0,00385497;0,822903;-0,01782;-39,9622;-194,435;;;;336;0,978027;0,000696424;0,574725;-0,128588;-165,981;-2254,75
;337;0,459724;0,00383641;0,823403;-0,0177126;-39,8448;-194,434;;;;337;0,977927;0,000696566;0,574733;-0,128582;-165,967;-2254,21
;338;0,459196;0,00381797;0,823901;-0,0176059;-39,7278;-194,434;;;;338;0,977827;0,0006967;0,574742;-0,128576;-165,954;-2253,69
;339;0,45867;0,00379964;0,824398;-0,0174998;-39,6112;-194,433;;;;339;0,977728;0,000696827;0,574751;-0,12857;-,166;-2253,19
;340;0,458147;0,00378144;0,824894;-0,0173945;-39,495;-194,432;;;;340;0,977628;0,000696947;0,57476;-0,128563;-165,925;-2252,71
;341;0,457626;0,00376335;0,825387;-0,0172898;-39,3791;-194,431;;;;341;0,977528;0,00069706;0,574769;-0,128556;-165,911;-2252,25
;342;0,457108;0,00374538;0,82588;-0,0171859;-39,2636;-194,431;;;;342;0,977429;0,000697166;0,574778;-0,128549;-165,897;-2251,8
;343;0,456592;0,00372753;0,826371;-0,0170825;-39,1486;-,194;;;;343;0,977329;0,000697265;0,574788;-0,128542;-165,883;-2251,37
;344;0,456078;0,00370979;0,82686;-0,0169799;-39,0338;-194,429;;;;344;0,977229;0,000697358;0,574798;-0,128535;-165,869;-2250,96
;345;0,455567;0,00369217;0,827348;-0,0168779;-38,9195;-194,429;;;;345;0,97713;0,000697444;0,574808;-0,128527;-165,855;-2250,57
;346;0,455058;0,00367466;0,827834;-0,0167766;-38,8055;-194,428;;;;346;0,97703;0,000697523;0,574818;-0,12852;-165,841;-2250,19
;347;0,454552;0,00365726;0,828319;-0,0166759;-38,6919;-194,427;;;;347;0,97693;0,000697595;0,574829;-0,128512;-165,827;-2249,83
;348;0,454048;0,00363998;0,828802;-0,0165759;-38,5787;-194,427;;;;348;0,97683;0,000697662;0,57484;-0,128504;-165,813;-2249,49
;349;0,453546;0,0036228;0,829284;-0,0164766;-38,4658;-194,426;;;;349;0,976731;0,000697721;0,574851;-0,128496;-165,799;-2249,17
;350;0,453047;0,00360574;0,829765;-0,0163778;-38,3533;-194,425;;;;350;0,976631;0,000697775;0,574862;-0,128487;-165,784;-2248,86
;351;0,45255;0,00358878;0,830244;-0,0162797;-38,2412;-194,425;;;;351;0,976531;0,000697822;0,574873;-0,128479;-,166;-2248,56
;352;0,452056;0,00357193;0,830721;-0,0161823;-38,1294;-194,424;;;;352;0,976431;0,000697863;0,574885;-0,12847;-165,756;-2248,28
;353;0,451563;0,00355519;0,831197;-0,0160854;-38,018;-194,423;;;;353;0,976332;0,000697898;0,574897;-0,128461;-165,742;-2248,02
;354;0,451073;0,00353855;0,831672;-0,0159892;-37,907;-194,423;;;;354;0,976232;0,000697927;0,574909;-0,128453;-165,728;-2247,77
;355;0,450585;0,00352202;0,832145;-0,0158936;-37,7963;-194,422;;;;355;0,976132;0,00069795;0,574921;-0,128443;-165,713;-2247,54
;356;0,4501;0,00350559;0,832616;-0,0157986;-37,686;-194,422;;;;356;0,976033;0,000697967;0,574934;-0,128434;-165,699;-2247,33
;357;0,449617;0,00348926;0,833087;-0,0157043;-37,576;-194,421;;;;357;0,975933;0,000697978;0,574946;-0,128425;-165,685;-2247,12
;358;0,449136;0,00347304;0,833556;-0,0156105;-37,4664;-,194;;;;358;0,975833;0,000697984;0,574959;-0,128415;-165,671;-2246,94
;359;0,448657;0,00345692;0,834023;-0,0155173;-37,3571;-,194;;;;359;0,975733;0,000697984;0,574972;-0,128406;-165,656;-2246,76
;360;0,44818;0,0034409;0,834489;-0,0154247;-37,2482;-194,419;;;;360;0,975634;0,000697978;0,574986;-0,128396;-165,642;-2246,61
;361;0,447705;0,00342498;0,834954;-0,0153327;-37,1397;-194,419;;;;361;0,975534;0,000697966;0,574999;-0,128386;-165,628;-2246,46
;362;0,447233;0,00340915;0,835417;-0,0152413;-37,0315;-194,418;;;;362;0,975434;0,00069795;0,575013;-0,128376;-165,613;-2246,33
;363;0,446763;0,00339343;0,835878;-0,0151505;-36,9236;-194,417;;;;363;0,975335;0,000697927;0,575027;-0,128366;-165,599;-2246,22
;364;0,446295;0,0033778;0,836339;-0,0150603;-36,8161;-194,417;;;;364;0,975235;0,0006979;0,575041;-0,128355;-165,585;-2246,12
;365;0,445829;0,00336227;0,836798;-0,0149706;-36,709;-194,416;;;;365;0,975135;0,000697867;0,575055;-0,128345;-,166;-2246,03
;366;0,445365;0,00334684;0,837255;-0,0148815;-36,6021;-194,416;;;;366;0,975036;0,000697829;0,575069;-0,128334;-165,556;-2245,95
;367;0,444904;0,0033315;0,837712;-0,014793;-36,4957;-194,415;;;;367;0,974936;0,000697785;0,575084;-0,128323;-165,541;-2245,89
;368;0,444444;0,00331625;0,838166;-0,014705;-36,3895;-194,414;;;;368;0,974836;0,000697737;0,575099;-0,128312;-165,527;-2245,84
;369;0,443986;0,0033011;0,83862;-0,0146176;-36,2837;-194,414;;;;369;0,974737;0,000697684;0,575114;-0,128301;-165,513;-2245,8
;370;0,443531;0,00328604;0,839072;-0,0145308;-36,1783;-194,413;;;;370;0,974637;0,000697625;0,575129;-0,12829;-165,498;-2245,78
;371;0,443078;0,00327108;0,839523;-0,0144445;-36,0732;-194,413;;;;371;0,974537;0,000697562;0,575144;-0,128279;-165,484;-2245,77
;372;0,442626;0,0032562;0,839972;-0,0143587;-35,9684;-194,412;;;;372;0,974438;0,000697494;0,575159;-0,128267;-165,469;-2245,77
;373;0,442177;0,00324142;0,84042;-0,0142735;-35,8639;-194,412;;;;373;0,974338;0,000697421;0,575175;-0,128256;-165,455;-2245,79
;374;0,44173;0,00322672;0,840867;-0,0141889;-35,7598;-194,411;;;;374;0,974239;0,000697343;0,575191;-0,128244;-165,441;-2245,81
;375;0,441284;0,00321211;0,841312;-0,0141047;-35,656;-,194;;;;375;0,974139;0,000697261;0,575207;-0,128233;-165,426;-2245,85
;376;0,440841;0,0031976;0,841756;-0,0140211;-35,5526;-,194;;;;376;0,97404;0,000697174;0,575223;-0,128221;-165,412;-2245,9
;377;0,4404;0,00318316;0,842198;-0,0139381;-35,4495;-194,409;;;;377;0,97394;0,000697082;0,575239;-0,128209;-165,397;-2245,96
;378;0,43996;0,00316882;0,84264;-0,0138555;-35,3467;-194,409;;;;378;0,973841;0,000696986;0,575255;-0,128197;-165,383;-2246,04
;379;0,439523;0,00315456;0,84308;-0,0137735;-35,2442;-194,408;;;;379;0,973741;0,000696885;0,575272;-0,128184;-165,368;-2246,12
;380;0,439087;0,00314039;0,843518;-0,013692;-35,1421;-194,408;;;;380;0,973642;0,00069678;0,575289;-0,128172;-165,354;-2246,22
;381;0,438654;0,0031263;0,843956;-0,013611;-35,0403;-194,407;;;;381;0,973542;0,000696671;0,575305;-0,12816;-165,339;-2246,32
;382;0,438222;0,0031123;0,844392;-0,0135305;-34,9388;-194,407;;;;382;0,973443;0,000696558;0,575322;-0,128147;-165,325;-2246,44
;383;0,437793;0,00309838;0,844826;-0,0134505;-34,8376;-194,406;;;;383;0,973344;0,00069644;0,57534;-0,128134;-,165;-2246,57
;384;0,437365;0,00308454;0,84526;-0,013371;-34,7368;-194,406;;;;384;0,973244;0,000696318;0,575357;-0,128122;-165,296;-2246,71
;385;0,436939;0,00307079;0,845692;-0,0132921;-34,6363;-194,405;;;;385;0,973145;0,000696192;0,575374;-0,128109;-165,281;-2246,86
;386;0,436515;0,00305712;0,846123;-0,0132136;-34,5361;-194,404;;;;386;0,973046;0,000696062;0,575392;-0,128096;-165,267;-2247,02
;387;0,436093;0,00304352;0,846552;-0,0131356;-34,4362;-194,404;;;;387;0,972946;0,000695928;0,57541;-0,128083;-165,252;-2247,19
;388;0,435672;0,00303001;0,846981;-0,0130581;-34,3366;-194,403;;;;388;0,972847;0,00069579;0,575428;-0,12807;-165,237;-2247,38
;389;0,435254;0,00301658;0,847408;-0,0129811;-34,2374;-194,403;;;;389;0,972748;0,000695648;0,575446;-0,128056;-165,223;-2247,57
;390;0,434837;0,00300323;0,847833;-0,0129045;-34,1384;-194,402;;;;390;0,972649;0,000695502;0,575464;-0,128043;-165,208;-2247,77
;391;0,434422;0,00298995;0,848258;-0,0128285;-34,0398;-194,402;;;;391;0,972549;0,000695352;0,575482;-0,128029;-165,194;-2247,98
;392;0,434009;0,00297676;0,848681;-0,0127529;-33,9415;-194,401;;;;392;0,97245;0,000695198;0,5755;-0,128016;-165,179;-2248,2
;393;0,433598;0,00296364;0,849103;-0,0126778;-33,8435;-194,401;;;;393;0,972351;0,000695041;0,575519;-0,128002;-165,165;-2248,43
;394;0,433189;0,00295059;0,849523;-0,0126032;-33,7458;-,194;;;;394;0,972252;0,00069488;0,575538;-0,127988;-,165;-2248,67
;395;0,432781;0,00293763;0,849943;-0,012529;-33,6484;-,194;;;;395;0,972153;0,000694716;0,575556;-0,127975;-165,135;-2248,92
;396;0,432375;0,00292473;0,850361;-0,0124553;-33,5513;-194,399;;;;396;0,972054;0,000694548;0,575575;-0,127961;-165,121;-2249,18
;397;0,431971;0,00291192;0,850778;-0,0123821;-33,4546;-194,399;;;;397;0,971955;0,000694376;0,575594;-0,127947;-165,106;-2249,45
;398;0,431569;0,00289918;0,851194;-0,0123093;-33,3581;-194,399;;;;398;0,971856;0,000694201;0,575613;-0,127932;-165,092;-2249,73
;399;0,431168;0,00288651;0,851608;-0,012237;-33,2619;-194,398;;;;399;0,971757;0,000694023;0,575633;-0,127918;-165,077;-2250,02
;400;0,430769;0,00287391;0,852021;-0,0121651;-33,1661;-194,398;;;;400;0,971658;0,000693841;0,575652;-0,127904;-165,062;-2250,31
;401;0,430372;0,00286139;0,852433;-0,0120936;-33,0705;-194,397;;;;401;0,971559;0,000693656;0,575672;-0,12789;-165,048;-2250,62
;402;0,429977;0,00284894;0,852844;-0,0120227;-32,9753;-194,397;;;;402;0,97146;0,000693467;0,575691;-0,127875;-165,033;-2250,93
;403;0,429583;0,00283656;0,853253;-0,0119521;-32,8803;-194,396;;;;403;0,971361;0,000693276;0,575711;-0,12786;-165,018;-2251,25
;404;0,429191;0,00282425;0,853662;-0,011882;-32,7857;-194,396;;;;404;0,971262;0,000693081;0,575731;-0,127846;-165,004;-2251,58
;405;0,428801;0,00281201;0,854069;-0,0118123;-32,6913;-194,395;;;;405;0,971164;0,000692883;0,575751;-0,127831;-164,989;-2251,92
;406;0,428412;0,00279984;0,854475;-0,0117431;-32,5972;-194,395;;;;406;0,971065;0,000692682;0,575771;-0,127816;-164,974;-2252,27
;407;0,428025;0,00278775;0,854879;-0,0116743;-32,5035;-194,394;;;;407;0,970966;0,000692477;0,575791;-0,127801;-,165;-2252,62
