t	Ns	Ni
-5247.846789200225	0.388605	0.00164475
-5248.846789200225	0.388835	0.0016509
-5249.846789200225	0.389065	0.00165707
-5250.846789200225	0.389296	0.00166327
-5251.846789200225	0.389527	0.00166949
-5252.846789200225	0.38976	0.00167575
-5253.846789200225	0.389994	0.00168204
-5254.846789200225	0.390228	0.00168835
-5255.846789200225	0.390463	0.0016947
-5256.846789200225	0.3907	0.00170108
-5257.846789200225	0.390937	0.00170748
-5258.846789200225	0.391175	0.00171392
-5259.846789200225	0.391413	0.00172039
-5260.846789200225	0.391653	0.00172688
-5261.846789200225	0.391894	0.00173341
-5262.846789200225	0.392135	0.00173997
-5263.846789200225	0.392378	0.00174656
-5264.846789200225	0.392621	0.00175318
-5265.846789200225	0.392865	0.00175984
-5266.846789200225	0.393111	0.00176652
-5267.846789200225	0.393357	0.00177324
-5268.846789200225	0.393604	0.00177999
-5269.846789200225	0.393852	0.00178677
-5270.846789200225	0.394101	0.00179359
-5271.846789200225	0.394351	0.00180043
-5272.846789200225	0.394601	0.00180731
-5273.846789200225	0.394853	0.00181423
-5274.846789200225	0.395106	0.00182117
-5275.846789200225	0.39536	0.00182815
-5276.846789200225	0.395614	0.00183517
-5277.846789200225	0.39587	0.00184222
-5278.846789200225	0.396126	0.0018493
-5279.846789200225	0.396384	0.00185642
-5280.846789200225	0.396643	0.00186357
-5281.846789200225	0.396902	0.00187076
-5282.846789200225	0.397163	0.00187798
-5283.846789200225	0.397424	0.00188523
-5284.846789200225	0.397687	0.00189253
-5285.846789200225	0.39795	0.00189986
-5286.846789200225	0.398215	0.00190722
-5287.846789200225	0.39848	0.00191462
-5288.846789200225	0.398747	0.00192206
-5289.846789200225	0.399015	0.00192953
-5290.846789200225	0.399283	0.00193704
-5291.846789200225	0.399553	0.00194459
-5292.846789200225	0.399824	0.00195218
-5293.846789200225	0.400096	0.0019598
-5294.846789200225	0.400369	0.00196746
-5295.846789200225	0.400642	0.00197516
-5296.846789200225	0.400917	0.0019829
-5297.846789200225	0.401193	0.00199067
-5298.846789200225	0.401471	0.00199849
-5299.846789200225	0.401749	0.00200634
-5300.846789200225	0.402028	0.00201424
-5301.846789200225	0.402308	0.00202217
-5302.846789200225	0.40259	0.00203014
-5303.846789200225	0.402873	0.00203816
-5304.846789200225	0.403156	0.00204621
-5305.846789200225	0.403441	0.00205431
-5306.846789200225	0.403727	0.00206244
-5307.846789200225	0.404014	0.00207062
-5308.846789200225	0.404302	0.00207884
-5309.846789200225	0.404591	0.0020871
-5310.846789200225	0.404882	0.0020954
-5311.846789200225	0.405173	0.00210374
-5312.846789200225	0.405466	0.00211213
-5313.846789200225	0.40576	0.00212056
-5314.846789200225	0.406055	0.00212903
-5315.846789200225	0.406351	0.00213755
-5316.846789200225	0.406649	0.00214611
-5317.846789200225	0.406947	0.00215472
-5318.846789200225	0.407247	0.00216337
-5319.846789200225	0.407548	0.00217206
-5320.846789200225	0.40785	0.0021808
-5321.846789200225	0.408154	0.00218958
-5322.846789200225	0.408458	0.00219841
-5323.846789200225	0.408764	0.00220729
-5324.846789200225	0.409071	0.00221621
-5325.846789200225	0.40938	0.00222518
-5326.846789200225	0.409689	0.00223419
-5327.846789200225	0.41	0.00224326
-5328.846789200225	0.410312	0.00225237
-5329.846789200225	0.410625	0.00226152
-5330.846789200225	0.41094	0.00227073
-5331.846789200225	0.411255	0.00227998
-5332.846789200225	0.411572	0.00228929
-5333.846789200225	0.411891	0.00229864
-5334.846789200225	0.41221	0.00230804
-5335.846789200225	0.412531	0.00231749
-5336.846789200225	0.412854	0.00232699
-5337.846789200225	0.413177	0.00233655
-5338.846789200225	0.413502	0.00234615
-5339.846789200225	0.413828	0.0023558
-5340.846789200225	0.414156	0.00236551
-5341.846789200225	0.414485	0.00237527
-5342.846789200225	0.414815	0.00238508
-5343.846789200225	0.415146	0.00239494
-5344.846789200225	0.415479	0.00240485
-5345.846789200225	0.415814	0.00241482
-5346.846789200225	0.416149	0.00242485
-5347.846789200225	0.416486	0.00243492
-5348.846789200225	0.416825	0.00244506
-5349.846789200225	0.417165	0.00245524
-5350.846789200225	0.417506	0.00246548
-5351.846789200225	0.417849	0.00247578
-5352.846789200225	0.418193	0.00248614
-5353.846789200225	0.418538	0.00249655
-5354.846789200225	0.418885	0.00250701
-5355.846789200225	0.419233	0.00251754
-5356.846789200225	0.419583	0.00252812
-5357.846789200225	0.419934	0.00253876
-5358.846789200225	0.420287	0.00254946
-5359.846789200225	0.420641	0.00256022
-5360.846789200225	0.420997	0.00257104
-5361.846789200225	0.421354	0.00258191
-5362.846789200225	0.421713	0.00259285
-5363.846789200225	0.422073	0.00260385
-5364.846789200225	0.422435	0.00261491
-5365.846789200225	0.422798	0.00262603
-5366.846789200225	0.423163	0.00263721
-5367.846789200225	0.423529	0.00264846
-5368.846789200225	0.423897	0.00265977
-5369.846789200225	0.424266	0.00267114
-5370.846789200225	0.424637	0.00268258
-5371.846789200225	0.42501	0.00269408
-5372.846789200225	0.425384	0.00270564
-5373.846789200225	0.42576	0.00271727
-5374.846789200225	0.426137	0.00272897
-5375.846789200225	0.426516	0.00274074
-5376.846789200225	0.426897	0.00275257
-5377.846789200225	0.427279	0.00276446
-5378.846789200225	0.427663	0.00277643
-5379.846789200225	0.428048	0.00278846
-5380.846789200225	0.428435	0.00280057
-5381.846789200225	0.428824	0.00281274
-5382.846789200225	0.429214	0.00282498
-5383.846789200225	0.429607	0.00283729
-5384.846789200225	0.43	0.00284968
-5385.846789200225	0.430396	0.00286213
-5386.846789200225	0.430793	0.00287466
-5387.846789200225	0.431192	0.00288726
-5388.846789200225	0.431593	0.00289993
-5389.846789200225	0.431995	0.00291268
-5390.846789200225	0.432399	0.0029255
-5391.846789200225	0.432805	0.00293839
-5392.846789200225	0.433213	0.00295137
-5393.846789200225	0.433623	0.00296441
-5394.846789200225	0.434034	0.00297754
-5395.846789200225	0.434447	0.00299074
-5396.846789200225	0.434862	0.00300402
-5397.846789200225	0.435279	0.00301738
-5398.846789200225	0.435697	0.00303081
-5399.846789200225	0.436118	0.00304433
-5400.846789200225	0.43654	0.00305793
-5401.846789200225	0.436964	0.0030716
-5402.846789200225	0.43739	0.00308536
-5403.846789200225	0.437818	0.00309921
-5404.846789200225	0.438248	0.00311313
-5405.846789200225	0.43868	0.00312714
-5406.846789200225	0.439113	0.00314123
-5407.846789200225	0.439549	0.00315541
-5408.846789200225	0.439986	0.00316967
-5409.846789200225	0.440426	0.00318402
-5410.846789200225	0.440867	0.00319846
-5411.846789200225	0.441311	0.00321298
-5412.846789200225	0.441756	0.00322759
-5413.846789200225	0.442204	0.00324229
-5414.846789200225	0.442653	0.00325708
-5415.846789200225	0.443105	0.00327196
-5416.846789200225	0.443558	0.00328694
-5417.846789200225	0.444014	0.003302
-5418.846789200225	0.444471	0.00331716
-5419.846789200225	0.444931	0.00333241
-5420.846789200225	0.445393	0.00334775
-5421.846789200225	0.445857	0.00336319
-5422.846789200225	0.446323	0.00337873
-5423.846789200225	0.446791	0.00339436
-5424.846789200225	0.447261	0.00341009
-5425.846789200225	0.447734	0.00342592
-5426.846789200225	0.448208	0.00344185
-5427.846789200225	0.448685	0.00345787
-5428.846789200225	0.449164	0.003474
-5429.846789200225	0.449645	0.00349023
-5430.846789200225	0.450129	0.00350656
-5431.846789200225	0.450614	0.003523
-5432.846789200225	0.451102	0.00353953
-5433.846789200225	0.451593	0.00355618
-5434.846789200225	0.452085	0.00357293
-5435.846789200225	0.45258	0.00358978
-5436.846789200225	0.453077	0.00360675
-5437.846789200225	0.453576	0.00362382
-5438.846789200225	0.454078	0.003641
-5439.846789200225	0.454582	0.0036583
-5440.846789200225	0.455088	0.0036757
-5441.846789200225	0.455597	0.00369322
-5442.846789200225	0.456109	0.00371085
-5443.846789200225	0.456622	0.00372859
-5444.846789200225	0.457138	0.00374645
-5445.846789200225	0.457657	0.00376442
-5446.846789200225	0.458178	0.00378252
-5447.846789200225	0.458701	0.00380073
-5448.846789200225	0.459227	0.00381906
-5449.846789200225	0.459756	0.00383751
-5450.846789200225	0.460287	0.00385608
-5451.846789200225	0.46082	0.00387478
-5452.846789200225	0.461356	0.0038936
-5453.846789200225	0.461895	0.00391254
-5454.846789200225	0.462436	0.00393161
-5455.846789200225	0.46298	0.0039508
-5456.846789200225	0.463526	0.00397013
-5457.846789200225	0.464075	0.00398958
-5458.846789200225	0.464627	0.00400916
-5459.846789200225	0.465182	0.00402888
-5460.846789200225	0.465739	0.00404873
-5461.846789200225	0.466299	0.00406871
-5462.846789200225	0.466861	0.00408882
-5463.846789200225	0.467426	0.00410908
-5464.846789200225	0.467994	0.00412947
-5465.846789200225	0.468565	0.00415
-5466.846789200225	0.469139	0.00417066
-5467.846789200225	0.469715	0.00419147
-5468.846789200225	0.470295	0.00421243
-5469.846789200225	0.470877	0.00423352
-5470.846789200225	0.471462	0.00425477
-5471.846789200225	0.47205	0.00427616
-5472.846789200225	0.472641	0.00429769
-5473.846789200225	0.473235	0.00431938
-5474.846789200225	0.473831	0.00434122
-5475.846789200225	0.474431	0.00436321
-5476.846789200225	0.475034	0.00438535
-5477.846789200225	0.47564	0.00440765
-5478.846789200225	0.476249	0.0044301
-5479.846789200225	0.47686	0.00445271
-5480.846789200225	0.477475	0.00447548
-5481.846789200225	0.478093	0.00449841
-5482.846789200225	0.478715	0.00452151
-5483.846789200225	0.479339	0.00454477
-5484.846789200225	0.479966	0.00456819
-5485.846789200225	0.480597	0.00459178
-5486.846789200225	0.481231	0.00461554
-5487.846789200225	0.481868	0.00463947
-5488.846789200225	0.482509	0.00466358
-5489.846789200225	0.483152	0.00468785
-5490.846789200225	0.483799	0.0047123
-5491.846789200225	0.48445	0.00473693
-5492.846789200225	0.485103	0.00476174
-5493.846789200225	0.48576	0.00478673
-5494.846789200225	0.486421	0.0048119
-5495.846789200225	0.487085	0.00483725
-5496.846789200225	0.487752	0.00486279
-5497.846789200225	0.488423	0.00488852
-5498.846789200225	0.489097	0.00491443
-5499.846789200225	0.489775	0.00494054
-5500.846789200225	0.490456	0.00496684
-5501.846789200225	0.491141	0.00499334
-5502.846789200225	0.49183	0.00502003
-5503.846789200225	0.492522	0.00504693
-5504.846789200225	0.493218	0.00507402
-5505.846789200225	0.493917	0.00510132
-5506.846789200225	0.49462	0.00512882
-5507.846789200225	0.495327	0.00515653
-5508.846789200225	0.496038	0.00518445
-5509.846789200225	0.496753	0.00521258
-5510.846789200225	0.497471	0.00524093
-5511.846789200225	0.498193	0.00526949
-5512.846789200225	0.498919	0.00529827
-5513.846789200225	0.499649	0.00532727
-5514.846789200225	0.500383	0.00535649
-5515.846789200225	0.501121	0.00538593
-5516.846789200225	0.501863	0.00541561
-5517.846789200225	0.502609	0.00544551
-5518.846789200225	0.503359	0.00547565
-5519.846789200225	0.504113	0.00550602
-5520.846789200225	0.504871	0.00553663
-5521.846789200225	0.505633	0.00556747
-5522.846789200225	0.5064	0.00559856
-5523.846789200225	0.50717	0.0056299
-5524.846789200225	0.507945	0.00566148
-5525.846789200225	0.508724	0.00569331
-5526.846789200225	0.509508	0.00572539
-5527.846789200225	0.510296	0.00575773
-5528.846789200225	0.511088	0.00579032
