t	Ns	Ni
-5486.944947129687	0.481277	0.00461726
-5487.944947129687	0.481914	0.0046412
-5488.944947129687	0.482555	0.00466531
-5489.944947129687	0.483199	0.0046896
-5490.944947129687	0.483846	0.00471407
-5491.944947129687	0.484496	0.00473871
-5492.944947129687	0.48515	0.00476353
-5493.944947129687	0.485808	0.00478853
-5494.944947129687	0.486468	0.00481371
-5495.944947129687	0.487132	0.00483908
-5496.944947129687	0.4878	0.00486463
-5497.944947129687	0.488471	0.00489037
-5498.944947129687	0.489146	0.0049163
-5499.944947129687	0.489824	0.00494242
-5500.944947129687	0.490505	0.00496874
-5501.944947129687	0.49119	0.00499525
-5502.944947129687	0.491879	0.00502196
-5503.944947129687	0.492572	0.00504887
-5504.944947129687	0.493268	0.00507598
-5505.944947129687	0.493968	0.00510329
-5506.944947129687	0.494671	0.00513081
-5507.944947129687	0.495378	0.00515853
-5508.944947129687	0.496089	0.00518647
-5509.944947129687	0.496804	0.00521461
-5510.944947129687	0.497523	0.00524297
-5511.944947129687	0.498245	0.00527155
-5512.944947129687	0.498971	0.00530034
-5513.944947129687	0.499702	0.00532936
-5514.944947129687	0.500436	0.0053586
-5515.944947129687	0.501174	0.00538806
-5516.944947129687	0.501916	0.00541775
-5517.944947129687	0.502662	0.00544767
-5518.944947129687	0.503413	0.00547782
-5519.944947129687	0.504167	0.00550821
-5520.944947129687	0.504925	0.00553884
-5521.944947129687	0.505688	0.0055697
-5522.944947129687	0.506455	0.00560081
-5523.944947129687	0.507226	0.00563216
-5524.944947129687	0.508001	0.00566376
-5525.944947129687	0.508781	0.0056956
-5526.944947129687	0.509564	0.00572771
-5527.944947129687	0.510353	0.00576006
-5528.944947129687	0.511145	0.00579268
-5529.944947129687	0.511942	0.00582555
-5530.944947129687	0.512744	0.00585869
-5531.944947129687	0.51355	0.0058921
-5532.944947129687	0.51436	0.00592577
-5533.944947129687	0.515175	0.00595972
-5534.944947129687	0.515995	0.00599394
-5535.944947129687	0.516819	0.00602844
-5536.944947129687	0.517648	0.00606323
-5537.944947129687	0.518481	0.00609829
-5538.944947129687	0.51932	0.00613365
-5539.944947129687	0.520163	0.00616929
-5540.944947129687	0.521011	0.00620523
-5541.944947129687	0.521864	0.00624147
-5542.944947129687	0.522721	0.00627801
-5543.944947129687	0.523584	0.00631485
-5544.944947129687	0.524452	0.006352
-5545.944947129687	0.525324	0.00638946
-5546.944947129687	0.526202	0.00642724
-5547.944947129687	0.527085	0.00646533
-5548.944947129687	0.527973	0.00650375
-5549.944947129687	0.528866	0.00654249
-5550.944947129687	0.529764	0.00658156
-5551.944947129687	0.530668	0.00662096
-5552.944947129687	0.531577	0.0066607
-5553.944947129687	0.532491	0.00670078
-5554.944947129687	0.533411	0.00674121
-5555.944947129687	0.534336	0.00678198
-5556.944947129687	0.535267	0.00682311
-5557.944947129687	0.536203	0.00686459
-5558.944947129687	0.537145	0.00690643
-5559.944947129687	0.538092	0.00694864
-5560.944947129687	0.539045	0.00699122
-5561.944947129687	0.540004	0.00703418
-5562.944947129687	0.540969	0.00707751
-5563.944947129687	0.541939	0.00712123
-5564.944947129687	0.542915	0.00716533
-5565.944947129687	0.543898	0.00720983
-5566.944947129687	0.544886	0.00725472
-5567.944947129687	0.54588	0.00730001
-5568.944947129687	0.546881	0.00734572
-5569.944947129687	0.547887	0.00739183
-5570.944947129687	0.5489	0.00743836
-5571.944947129687	0.549919	0.00748531
-5572.944947129687	0.550944	0.0075327
-5573.944947129687	0.551976	0.00758051
-5574.944947129687	0.553014	0.00762876
-5575.944947129687	0.554059	0.00767745
-5576.944947129687	0.55511	0.00772659
-5577.944947129687	0.556168	0.00777619
-5578.944947129687	0.557232	0.00782624
-5579.944947129687	0.558303	0.00787676
-5580.944947129687	0.559381	0.00792776
-5581.944947129687	0.560466	0.00797923
-5582.944947129687	0.561558	0.00803119
-5583.944947129687	0.562656	0.00808364
-5584.944947129687	0.563762	0.00813658
-5585.944947129687	0.564875	0.00819002
-5586.944947129687	0.565994	0.00824398
-5587.944947129687	0.567122	0.00829844
-5588.944947129687	0.568256	0.00835344
-5589.944947129687	0.569398	0.00840896
-5590.944947129687	0.570547	0.00846502
-5591.944947129687	0.571704	0.00852162
-5592.944947129687	0.572868	0.00857877
-5593.944947129687	0.57404	0.00863648
-5594.944947129687	0.57522	0.00869476
-5595.944947129687	0.576407	0.0087536
-5596.944947129687	0.577602	0.00881303
-5597.944947129687	0.578806	0.00887305
-5598.944947129687	0.580017	0.00893366
-5599.944947129687	0.581236	0.00899487
-5600.944947129687	0.582464	0.0090567
-5601.944947129687	0.5837	0.00911915
-5602.944947129687	0.584944	0.00918223
-5603.944947129687	0.586196	0.00924594
-5604.944947129687	0.587458	0.0093103
-5605.944947129687	0.588727	0.00937532
-5606.944947129687	0.590006	0.009441
-5607.944947129687	0.591293	0.00950735
-5608.944947129687	0.592589	0.00957439
-5609.944947129687	0.593893	0.00964212
-5610.944947129687	0.595207	0.00971055
-5611.944947129687	0.59653	0.00977969
-5612.944947129687	0.597863	0.00984955
-5613.944947129687	0.599204	0.00992015
-5614.944947129687	0.600555	0.00999149
-5615.944947129687	0.601915	0.0100636
-5616.944947129687	0.603285	0.0101364
-5617.944947129687	0.604665	0.0102101
-5618.944947129687	0.606055	0.0102845
-5619.944947129687	0.607454	0.0103597
-5620.944947129687	0.608863	0.0104357
-5621.944947129687	0.610283	0.0105126
-5622.944947129687	0.611712	0.0105902
-5623.944947129687	0.613152	0.0106688
-5624.944947129687	0.614603	0.0107481
-5625.944947129687	0.616064	0.0108284
-5626.944947129687	0.617535	0.0109095
-5627.944947129687	0.619018	0.0109915
-5628.944947129687	0.620511	0.0110744
-5629.944947129687	0.622015	0.0111583
-5630.944947129687	0.62353	0.0112431
-5631.944947129687	0.625057	0.0113288
-5632.944947129687	0.626595	0.0114155
-5633.944947129687	0.628144	0.0115032
-5634.944947129687	0.629705	0.0115918
-5635.944947129687	0.631278	0.0116815
-5636.944947129687	0.632862	0.0117722
-5637.944947129687	0.634459	0.0118639
-5638.944947129687	0.636068	0.0119567
-5639.944947129687	0.637688	0.0120506
-5640.944947129687	0.639322	0.0121455
-5641.944947129687	0.640968	0.0122415
-5642.944947129687	0.642626	0.0123387
-5643.944947129687	0.644298	0.012437
-5644.944947129687	0.645982	0.0125364
-5645.944947129687	0.647679	0.012637
-5646.944947129687	0.64939	0.0127388
-5647.944947129687	0.651114	0.0128418
-5648.944947129687	0.652852	0.012946
-5649.944947129687	0.654604	0.0130515
-5650.944947129687	0.656369	0.0131582
-5651.944947129687	0.658148	0.0132662
-5652.944947129687	0.659942	0.0133755
-5653.944947129687	0.66175	0.0134861
-5654.944947129687	0.663573	0.0135981
-5655.944947129687	0.66541	0.0137114
-5656.944947129687	0.667262	0.013826
-5657.944947129687	0.66913	0.0139421
-5658.944947129687	0.671012	0.0140596
-5659.944947129687	0.67291	0.0141785
-5660.944947129687	0.674824	0.0142989
-5661.944947129687	0.676754	0.0144208
-5662.944947129687	0.678699	0.0145441
-5663.944947129687	0.680661	0.014669
-5664.944947129687	0.682639	0.0147954
-5665.944947129687	0.684634	0.0149234
-5666.944947129687	0.686646	0.0150529
-5667.944947129687	0.688674	0.0151841
-5668.944947129687	0.69072	0.0153169
-5669.944947129687	0.692783	0.0154513
-5670.944947129687	0.694864	0.0155874
-5671.944947129687	0.696963	0.0157251
-5672.944947129687	0.69908	0.0158646
-5673.944947129687	0.701215	0.0160058
-5674.944947129687	0.703369	0.0161487
-5675.944947129687	0.705542	0.0162934
-5676.944947129687	0.707733	0.0164399
-5677.944947129687	0.709944	0.0165882
-5678.944947129687	0.712174	0.0167382
-5679.944947129687	0.714425	0.0168901
-5680.944947129687	0.716695	0.0170439
-5681.944947129687	0.718985	0.0171995
-5682.944947129687	0.721296	0.0173569
-5683.944947129687	0.723627	0.0175162
-5684.944947129687	0.72598	0.0176774
-5685.944947129687	0.728354	0.0178405
-5686.944947129687	0.730749	0.0180055
-5687.944947129687	0.733167	0.0181723
-5688.944947129687	0.735606	0.0183411
-5689.944947129687	0.738068	0.0185117
-5690.944947129687	0.740552	0.0186842
-5691.944947129687	0.743059	0.0188586
-5692.944947129687	0.74559	0.0190348
-5693.944947129687	0.748144	0.0192128
-5694.944947129687	0.750721	0.0193926
-5695.944947129687	0.753323	0.0195742
-5696.944947129687	0.755949	0.0197575
-5697.944947129687	0.7586	0.0199425
-5698.944947129687	0.761275	0.0201291
-5699.944947129687	0.763976	0.0203173
-5700.944947129687	0.766703	0.020507
-5701.944947129687	0.769455	0.0206981
-5702.944947129687	0.772233	0.0208906
-5703.944947129687	0.775037	0.0210843
-5704.944947129687	0.777868	0.0212791
-5705.944947129687	0.780726	0.0214749
-5706.944947129687	0.783612	0.0216715
-5707.944947129687	0.786524	0.0218689
-5708.944947129687	0.789465	0.0220668
-5709.944947129687	0.792433	0.022265
-5710.944947129687	0.79543	0.0224633
-5711.944947129687	0.798455	0.0226615
-5712.944947129687	0.801508	0.0228593
-5713.944947129687	0.804591	0.0230564
-5714.944947129687	0.807703	0.0232525
-5715.944947129687	0.810844	0.0234473
-5716.944947129687	0.814014	0.0236403
-5717.944947129687	0.817214	0.0238312
-5718.944947129687	0.820444	0.0240194
-5719.944947129687	0.823703	0.0242046
-5720.944947129687	0.826992	0.0243861
-5721.944947129687	0.830312	0.0245633
-5722.944947129687	0.833661	0.0247357
-5723.944947129687	0.83704	0.0249024
-5724.944947129687	0.840448	0.0250627
-5725.944947129687	0.843887	0.0252158
-5726.944947129687	0.847354	0.0253607
-5727.944947129687	0.850851	0.0254966
-5728.944947129687	0.854377	0.0256223
-5729.944947129687	0.857931	0.0257367
-5730.944947129687	0.861513	0.0258386
-5731.944947129687	0.865123	0.0259266
-5732.944947129687	0.86876	0.0259994
-5733.944947129687	0.872422	0.0260554
-5734.944947129687	0.876109	0.026093
-5735.944947129687	0.879821	0.0261104
-5736.944947129687	0.883556	0.026106
-5737.944947129687	0.887312	0.0260775
-5738.944947129687	0.891088	0.0260232
-5739.944947129687	0.894882	0.0259407
-5740.944947129687	0.898693	0.0258277
-5741.944947129687	0.902519	0.0256821
-5742.944947129687	0.906356	0.0255011
-5743.944947129687	0.910203	0.0252825
-5744.944947129687	0.914055	0.0250234
-5745.944947129687	0.917911	0.0247215
-5746.944947129687	0.921766	0.0243739
-5747.944947129687	0.925616	0.0239782
-5748.944947129687	0.929457	0.0235319
-5749.944947129687	0.933283	0.0230326
-5750.944947129687	0.937088	0.0224781
-5751.944947129687	0.940868	0.0218668
-5752.944947129687	0.944614	0.021197
-5753.944947129687	0.94832	0.0204679
-5754.944947129687	0.951977	0.0196793
-5755.944947129687	0.955577	0.0188315
-5756.944947129687	0.959108	0.0179262
-5757.944947129687	0.962561	0.016966
-5758.944947129687	0.965925	0.0159548
-5759.944947129687	0.969186	0.014898
-5760.944947129687	0.972331	0.0138029
-5761.944947129687	0.975347	0.0126785
-5762.944947129687	0.97822	0.0115357
-5763.944947129687	0.980934	0.0103871
-5764.944947129687	0.983477	0.00924728
-5765.944947129687	0.985833	0.00813188
-5766.944947129687	0.987992	0.0070573
-5767.944947129687	0.989944	0.00603974
-5768.944947129687	0.991684	0.00509418
-5769.944947129687	0.99321	0.00423315
-5770.944947129687	0.994526	0.00346571
-5771.944947129687	0.995642	0.00279661
-5772.944947129687	0.99657	0.00222598
-5773.944947129687	0.997329	0.00174963
