lambda_s
-165.651
-165.684
-165.717
-165.749
-165.781
-165.813
-165.844
-165.875
-165.906
-165.937
-165.967
-165.998
-166.027
-166.057
-166.086
-166.115
-166.144
-166.172
-166.201
-166.228
-166.256
-166.283
-166.311
-166.337
-166.364
-166.390
-166.416
-166.442
-166.467
-166.493
-166.517
-166.542
-166.566
-166.591
-166.614
-166.638
-166.661
-166.684
-166.707
-166.729
-166.752
-166.774
-166.795
-166.817
-166.838
-166.859
-166.879
-166.900
-166.920
-166.940
-166.959
-166.979
-166.998
-167.017
-167.035
-167.054
-167.072
-167.089
-167.107
-167.124
-167.141
-167.158
-167.175
-167.191
-167.207
-167.223
-167.238
-167.254
-167.269
-167.284
-167.298
-167.313
-167.327
-167.341
-167.354
-167.368
-167.381
-167.394
-167.406
-167.419
-167.431
-167.443
-167.455
-167.466
-167.477
-167.488
-167.499
-167.510
-167.520
-167.530
-167.540
-167.550
-167.560
-167.569
-167.578
-167.587
-167.595
-167.604
-167.612
-167.620
-167.628
-167.635
-167.643
-167.650
-167.657
-167.664
-167.670
-167.676
-167.683
-167.688
-167.694
-167.700
-167.705
-167.710
-167.715
-167.720
-167.725
-167.729
-167.733
-167.737
-167.741
-167.745
-167.748
-167.751
-167.754
-167.757
-167.760
-167.762
-167.765
-167.767
-167.769
-167.771
-167.773
-167.774
-167.775
-167.777
-167.778
-167.778
-167.779
-167.780
