t	Ns	Ni
-5598.787335054766	0.579858	0.00892567
-5599.787335054766	0.581076	0.00898681
-5600.787335054766	0.582302	0.00904856
-5601.787335054766	0.583537	0.00911092
-5602.787335054766	0.58478	0.00917392
-5603.787335054766	0.586032	0.00923755
-5604.787335054766	0.587292	0.00930182
-5605.787335054766	0.58856	0.00936675
-5606.787335054766	0.589837	0.00943234
-5607.787335054766	0.591123	0.00949861
-5608.787335054766	0.592418	0.00956556
-5609.787335054766	0.593722	0.00963319
-5610.787335054766	0.595034	0.00970153
-5611.787335054766	0.596356	0.00977058
-5612.787335054766	0.597687	0.00984035
-5613.787335054766	0.599027	0.00991085
-5614.787335054766	0.600377	0.00998209
-5615.787335054766	0.601736	0.0100541
-5616.787335054766	0.603105	0.0101268
-5617.787335054766	0.604483	0.0102004
-5618.787335054766	0.605872	0.0102747
-5619.787335054766	0.60727	0.0103498
-5620.787335054766	0.608678	0.0104257
-5621.787335054766	0.610096	0.0105024
-5622.787335054766	0.611524	0.01058
-5623.787335054766	0.612963	0.0106584
-5624.787335054766	0.614412	0.0107377
-5625.787335054766	0.615871	0.0108178
-5626.787335054766	0.617341	0.0108988
-5627.787335054766	0.618822	0.0109807
-5628.787335054766	0.620314	0.0110635
-5629.787335054766	0.621817	0.0111472
-5630.787335054766	0.623331	0.0112319
-5631.787335054766	0.624856	0.0113175
-5632.787335054766	0.626392	0.0114041
-5633.787335054766	0.62794	0.0114916
-5634.787335054766	0.629499	0.0115801
-5635.787335054766	0.631071	0.0116697
-5636.787335054766	0.632654	0.0117602
-5637.787335054766	0.634249	0.0118518
-5638.787335054766	0.635856	0.0119445
-5639.787335054766	0.637475	0.0120382
-5640.787335054766	0.639107	0.012133
-5641.787335054766	0.640751	0.0122289
-5642.787335054766	0.642408	0.0123259
-5643.787335054766	0.644078	0.012424
-5644.787335054766	0.64576	0.0125233
-5645.787335054766	0.647456	0.0126238
-5646.787335054766	0.649165	0.0127254
-5647.787335054766	0.650887	0.0128282
-5648.787335054766	0.652623	0.0129323
-5649.787335054766	0.654373	0.0130376
-5650.787335054766	0.656137	0.0131441
-5651.787335054766	0.657914	0.013252
-5652.787335054766	0.659706	0.0133611
-5653.787335054766	0.661512	0.0134715
-5654.787335054766	0.663333	0.0135833
-5655.787335054766	0.665168	0.0136964
-5656.787335054766	0.667018	0.0138109
-5657.787335054766	0.668884	0.0139268
-5658.787335054766	0.670764	0.0140441
-5659.787335054766	0.67266	0.0141628
-5660.787335054766	0.674572	0.014283
-5661.787335054766	0.6765	0.0144047
-5662.787335054766	0.678443	0.0145278
-5663.787335054766	0.680403	0.0146525
-5664.787335054766	0.682379	0.0147787
-5665.787335054766	0.684371	0.0149065
-5666.787335054766	0.686381	0.0150358
-5667.787335054766	0.688407	0.0151668
-5668.787335054766	0.690451	0.0152993
-5669.787335054766	0.692512	0.0154336
-5670.787335054766	0.69459	0.0155694
-5671.787335054766	0.696687	0.015707
-5672.787335054766	0.698801	0.0158462
-5673.787335054766	0.700934	0.0159872
-5674.787335054766	0.703085	0.0161299
-5675.787335054766	0.705255	0.0162743
-5676.787335054766	0.707445	0.0164206
-5677.787335054766	0.709653	0.0165686
-5678.787335054766	0.711881	0.0167184
-5679.787335054766	0.714128	0.0168701
-5680.787335054766	0.716396	0.0170236
-5681.787335054766	0.718683	0.0171789
-5682.787335054766	0.720991	0.0173361
