t	Ns	Ni	Dead_pi_0.0062	InterpolatingFunction[{{1, 2}}, {5, 3, 0, {2}, {2}, 0, 0, 0, 0, Automatic, {}, {}, False}, {{1, 2}}, {{Take[Table[], 231]}, {Transpose[Take[Table[], 231]][[5]]}}, {Automatic}]	LogRS	Rt	DiscHealthCost	DiscTotalCost
0.	0.985185	0.01	9791.14	0.481139	-0.331794	0.707003	34.6157	60.6565
1.	0.984192	0.00959358	12636.7	0.483119	-0.323583	0.712114	33.1434	58.8369
2.	0.983233	0.00921034	15367.5	0.48505	-0.315603	0.71712	31.7567	57.1146
3.	0.982305	0.00884866	17990.2	0.486935	-0.307846	0.722022	30.4496	55.483
4.	0.981407	0.00850708	20510.8	0.488775	-0.300305	0.726822	29.2164	53.9361
5.	0.980538	0.00818424	22934.9	0.49057	-0.292973	0.731523	28.0523	52.4682
6.	0.979696	0.00787889	25267.8	0.492322	-0.285841	0.736126	26.9524	51.0742
7.	0.97888	0.00758986	27514.4	0.494033	-0.278904	0.740633	25.9126	49.7495
8.	0.978089	0.0073161	29679.2	0.495703	-0.272154	0.745047	24.9287	48.4896
9.	0.977323	0.00705661	31766.6	0.497334	-0.265586	0.749368	23.9971	47.2905
10.	0.976578	0.00681049	33780.6	0.498926	-0.259193	0.7536	23.1145	46.1483
11.	0.975856	0.00657688	35724.9	0.500481	-0.252969	0.757744	22.2777	45.0596
12.	0.975154	0.00635501	37603.1	0.502	-0.246908	0.761802	21.4837	44.0212
13.	0.974472	0.00614415	39418.4	0.503484	-0.241006	0.765776	20.7299	43.03
14.	0.97381	0.00594362	41174.	0.504933	-0.235256	0.769668	20.0139	42.0833
15.	0.973165	0.00575281	42872.8	0.506349	-0.229654	0.77348	19.3331	41.1785
16.	0.972538	0.00557111	44517.4	0.507733	-0.224195	0.777213	18.6857	40.3131
17.	0.971928	0.00539801	46110.6	0.509086	-0.218874	0.780869	18.0694	39.4848
18.	0.971333	0.00523299	47654.6	0.510408	-0.213686	0.78445	17.4825	38.6917
19.	0.970755	0.00507558	49151.8	0.511701	-0.208628	0.787959	16.9232	37.9317
20.	0.970191	0.00492535	50604.4	0.512965	-0.203695	0.791395	16.3899	37.203
21.	0.969641	0.00478189	52014.3	0.5142	-0.198882	0.794762	15.8812	36.5039
22.	0.969104	0.00464482	53383.4	0.515409	-0.194187	0.798061	15.3956	35.8328
23.	0.968581	0.00451379	54713.6	0.516591	-0.189605	0.801293	14.9317	35.1881
24.	0.968071	0.00438845	56006.6	0.517747	-0.185133	0.804461	14.4885	34.5686
25.	0.967573	0.00426851	57264.	0.518879	-0.180767	0.807565	14.0648	33.9729
26.	0.967086	0.00415367	58487.2	0.519986	-0.176505	0.810606	13.6594	33.3998
27.	0.96661	0.00404366	59677.8	0.521069	-0.172342	0.813588	13.2714	32.848
28.	0.966146	0.00393822	60837.1	0.52213	-0.168275	0.81651	12.8999	32.3166
29.	0.965692	0.00383712	61966.5	0.523168	-0.164303	0.819375	12.544	31.8046
30.	0.965247	0.00374012	63067.	0.524185	-0.160421	0.822184	12.2028	31.3108
31.	0.964813	0.00364703	64140.	0.52518	-0.156627	0.824937	11.8756	30.8346
32.	0.964388	0.00355764	65186.4	0.526155	-0.152919	0.827637	11.5617	30.375
33.	0.963971	0.00347177	66207.4	0.527109	-0.149293	0.830285	11.2604	29.9312
34.	0.963564	0.00338924	67203.9	0.528044	-0.145748	0.832881	10.971	29.5025
35.	0.963165	0.00330989	68177.	0.52896	-0.142281	0.835427	10.6931	29.0881
36.	0.962774	0.00323355	69127.4	0.529858	-0.13889	0.837925	10.4259	28.6875
37.	0.962391	0.0031601	70056.	0.530738	-0.135572	0.840375	10.169	28.3
38.	0.962015	0.00308939	70963.8	0.5316	-0.132326	0.842779	9.92182	27.9249
39.	0.961647	0.00302128	71851.3	0.532445	-0.129149	0.845137	9.68397	27.5618
40.	0.961285	0.00295566	72719.5	0.533274	-0.126039	0.84745	9.45498	27.2101
41.	0.960931	0.00289242	73568.9	0.534086	-0.122995	0.849721	9.23443	26.8692
42.	0.960583	0.00283144	74400.3	0.534882	-0.120014	0.851949	9.02192	26.5388
43.	0.960242	0.00277261	75214.2	0.535664	-0.117096	0.854135	8.81708	26.2184
44.	0.959906	0.00271585	76011.4	0.53643	-0.114237	0.856281	8.61956	25.9075
45.	0.959577	0.00266106	76792.4	0.537181	-0.111437	0.858388	8.42903	25.6058
46.	0.959254	0.00260816	77557.8	0.537919	-0.108693	0.860456	8.24516	25.3129
47.	0.958936	0.00255705	78308.	0.538642	-0.106005	0.862486	8.06767	25.0283
48.	0.958624	0.00250767	79043.6	0.539352	-0.103371	0.864479	7.89626	24.7518
49.	0.958316	0.00245993	79765.2	0.540049	-0.100789	0.866436	7.73068	24.4831
50.	0.958014	0.00241377	80473.1	0.540733	-0.0982583	0.868358	7.57067	24.2217
51.	0.957718	0.00236912	81167.8	0.541404	-0.095777	0.870246	7.41599	23.9675
52.	0.957425	0.00232592	81849.8	0.542063	-0.0933439	0.8721	7.26641	23.7201
53.	0.957138	0.0022841	82519.4	0.54271	-0.0909579	0.873921	7.12171	23.4794
54.	0.956855	0.00224362	83177.	0.543345	-0.0886177	0.875709	6.9817	23.2449
55.	0.956577	0.00220441	83823.1	0.543969	-0.0863221	0.877466	6.84617	23.0165
56.	0.956302	0.00216643	84458.	0.544582	-0.08407	0.879193	6.71495	22.794
57.	0.956032	0.00212962	85082.	0.545184	-0.0818603	0.880889	6.58785	22.5771
58.	0.955766	0.00209394	85695.4	0.545776	-0.0796918	0.882555	6.46471	22.3657
59.	0.955504	0.00205934	86298.7	0.546357	-0.0775636	0.884193	6.34537	22.1594
60.	0.955246	0.00202578	86892.1	0.546928	-0.0754747	0.885803	6.22967	21.9582
61.	0.954992	0.00199323	87475.9	0.547489	-0.073424	0.887385	6.11748	21.7619
