t	Ns	Ni	Dead_pi_0.0062	A	LogRS	Rt	DiscHealthCost	DiscTotalCost
0.	0.999922	0.0000527028	51.0309	0.614904	0.158822	1.17204	0.182435	12.6289
0.614904	1.	0.999913	0.0000540096	66.5311	0.6146	0.157836	1.17087	0.18659
12.6318	0.6146	2.	0.999904	0.0000553397	82.4143	0.614298	0.156852	1.16971
0.190808	12.6346	0.614298	3.	0.999895	0.000056693	98.6873	0.613996	0.15587
1.16855	0.195089	12.6374	0.613996	4.	0.999885	0.0000580699	115.357	0.613696
0.15489	1.16739	0.199433	12.6402	0.613696	5.	0.999875	0.0000594704	132.43
0.613395	0.153911	1.16624	0.203841	12.6431	0.613395	6.	0.999865	0.0000608946
149.913	0.613096	0.152935	1.16509	0.208311	12.6459	0.613096	7.	0.999855
0.0000623428	167.814	0.612797	0.15196	1.16395	0.212845	12.6486	0.612797	8.
0.999845	0.0000638149	186.138	0.6125	0.150988	1.1628	0.217441	12.6514	0.6125
9.	0.999834	0.0000653112	204.894	0.612203	0.150018	1.16166	0.222101	12.6542
0.612203	10.	0.999823	0.0000668316	224.088	0.611906	0.14905	1.16053	0.226824
12.6569	0.611906	11.	0.999812	0.0000683764	243.728	0.611611	0.148085	1.15939
0.231609	12.6597	0.611611	12.	0.9998	0.0000699456	263.819	0.611316	0.147121
1.15826	0.236458	12.6624	0.611316	13.	0.999789	0.0000715392	284.37	0.611023
0.14616	1.15714	0.241368	12.6651	0.611023	14.	0.999777	0.0000731574	305.388
0.61073	0.145201	1.15601	0.246342	12.6677	0.61073	15.	0.999764	0.0000748003
326.879	0.610438	0.144245	1.15489	0.251377	12.6704	0.610438	16.	0.999752
0.0000764678	348.852	0.610147	0.143291	1.15378	0.256475	12.673	0.610147	17.
0.999739	0.00007816	371.312	0.609857	0.142339	1.15267	0.261634	12.6757	0.609857
18.	0.999726	0.0000798771	394.267	0.609567	0.14139	1.15156	0.266855	12.6783
0.609567	19.	0.999713	0.0000816189	417.725	0.609279	0.140443	1.15045	0.272137
12.6808	0.609279	20.	0.999699	0.0000833856	441.693	0.608991	0.139499	1.14935
0.277479	12.6834	0.608991	21.	0.999686	0.0000851772	466.177	0.608705	0.138558
1.14826	0.282882	12.6859	0.608705	22.	0.999671	0.0000869936	491.185	0.608419
0.137619	1.14716	0.288346	12.6884	0.608419	23.	0.999657	0.0000888349	516.725
0.608134	0.136683	1.14607	0.293869	12.6909	0.608134	24.	0.999642	0.0000907011
542.803	0.607851	0.13575	1.14499	0.299451	12.6934	0.607851	25.	0.999627
0.0000925921	569.427	0.607568	0.134819	1.1439	0.305092	12.6958	0.607568	26.
0.999612	0.000094508	596.604	0.607286	0.133891	1.14283	0.310791	12.6982	0.607286
27.	0.999597	0.0000964487	624.342	0.607005	0.132966	1.14175	0.316548	12.7005
0.607005	28.	0.999581	0.0000984142	652.646	0.606725	0.132044	1.14068	0.322362
12.7029	0.606725	29.	0.999564	0.000100404	681.525	0.606447	0.131125	1.13961
0.328233	12.7051	0.606447	30.	0.999548	0.000102419	710.986	0.606169	0.130209
1.13855	0.33416	12.7074	0.606169	31.	0.999531	0.000104459	741.036	0.605892
0.129296	1.13749	0.340142	12.7096	0.605892	32.	0.999514	0.000106523	771.682
0.605616	0.128385	1.13644	0.34618	12.7118	0.605616	33.	0.999497	0.000108611
802.932	0.605342	0.127478	1.13539	0.352271	12.714	0.605342	34.	0.999479
0.000110724	834.791	0.605068	0.126574	1.13434	0.358416	12.7161	0.605068	35.
0.999461	0.000112861	867.268	0.604796	0.125673	1.1333	0.364614	12.7181	0.604796
36.	0.999442	0.000115022	900.369	0.604524	0.124776	1.13226	0.370864	12.7202
0.604524	37.	0.999423	0.000117208	934.101	0.604254	0.123881	1.13123	0.377166
12.7221	0.604254	38.	0.999404	0.000119417	968.472	0.603985	0.12299	1.1302
0.383517	12.7241	0.603985	39.	0.999385	0.00012165	1003.49	0.603717	0.122102
1.12917	0.389919	12.726	0.603717	40.	0.999365	0.000123907	1039.16	0.60345
0.121217	1.12815	0.39637	12.7278	0.60345	41.	0.999345	0.000126187	1075.48
0.603184	0.120336	1.12714	0.402868	12.7296	0.603184	42.	0.999324	0.00012849
1112.48	0.602919	0.119458	1.12612	0.409414	12.7314	0.602919	43.	0.999304
0.000130817	1150.14	0.602656	0.118583	1.12512	0.416006	12.7331	0.602656	44.
0.999282	0.000133167	1188.49	0.602393	0.117712	1.12411	0.422644	12.7347	0.602393
45.	0.999261	0.000135539	1227.52	0.602132	0.116845	1.12311	0.429326	12.7363
0.602132	46.	0.999239	0.000137934	1267.24	0.601872	0.11598	1.12212	0.436051
12.7378	0.601872	47.	0.999217	0.000140352	1307.66	0.601613	0.11512	1.12113
0.442819	12.7393	0.601613	48.	0.999194	0.000142791	1348.79	0.601355	0.114263
1.12014	0.449629	12.7407	0.601355	49.	0.999171	0.000145253	1390.63	0.601099
0.11341	1.11916	0.456479	12.7421	0.601099	50.	0.999148	0.000147737	1433.19
0.600843	0.11256	1.11819	0.463369	12.7434	0.600843	51.	0.999124	0.000150242
1476.47	0.600589	0.111714	1.11721	0.470298	12.7446	0.600589	52.	0.9991
0.000152768	1520.49	0.600336	0.110872	1.11625	0.477264	12.7458	0.600336	53.
0.999075	0.000155316	1565.24	0.600085	0.110033	1.11528	0.484266	12.7469	0.600085
54.	0.99905	0.000157884	1610.73	0.599834	0.109199	1.11432	0.491303	12.748
0.599834	55.	0.999025	0.000160473	1656.98	0.599585	0.108368	1.11337	0.498375
12.749	0.599585	56.	0.998999	0.000163082	1703.97	0.599337	0.107541	1.11242
0.50548	12.7499	0.599337	57.	0.998973	0.000165711	1751.73	0.599091	0.106717
1.11148	0.512617	12.7507	0.599091	58.	0.998946	0.00016836	1800.26	0.598845
0.105898	1.11054	0.519784	12.7515	0.598845	59.	0.998919	0.000171028	1849.56
0.598601	0.105083	1.1096	0.526982	12.7522	0.598601	60.	0.998892	0.000173715
1899.63	0.598358	0.104271	1.10867	0.534207	12.7528	0.598358	61.	0.998864
0.000176421	1950.49	0.598117	0.103464	1.10775	0.54146	12.7533	0.598117	62.
0.998836	0.000179146	2002.14	0.597877	0.10266	1.10683	0.548739	12.7538	0.597877
63.	0.998808	0.000181889	2054.58	0.597638	0.101861	1.10591	0.556043	12.7542
0.597638	64.	0.998779	0.00018465	2107.82	0.5974	0.101065	1.105	0.563371
12.7545	0.5974	65.	0.998749	0.000187428	2161.87	0.597164	0.100274	1.10409
0.570721	12.7547	0.597164	66.	0.99872	0.000190224	2216.73	0.596929	0.0994865
1.10319	0.578092	12.7548	0.596929	67.	0.99869	0.000193037	2272.4	0.596695
0.0987034	1.10229	0.585484	12.7549	0.596695	68.	0.998659	0.000195866	2328.89
0.596463	0.0979244	1.1014	0.592894	12.7549	0.596463	69.	0.998628	0.000198711
2386.2	0.596231	0.0971496	1.10051	0.600321	12.7548	0.596231	70.	0.998596
0.000201572	2444.35	0.596002	0.0963789	1.09963	0.607765	12.7546	0.596002	71.
0.998565	0.000204449	2503.32	0.595773	0.0956124	1.09875	0.615224	12.7543	0.595773
72.	0.998532	0.000207341	2563.14	0.595546	0.0948502	1.09788	0.622696	12.7539
0.595546	73.	0.9985	0.000210247	2623.8	0.595321	0.0940922	1.09701	0.630181
