t	Ns	Ni	Dead_pi_0.0062	A	Rt
46.	0.102435	0.162557	1494712.	1.	0.3175495206196103
47.	0.095648	0.147229	1539685.	1.	0.2965088025772737
48.	0.0898974	0.132978	1580360.	1.	0.2786820906166796
49.	0.0850069	0.119824	1617055.	1.	0.2635213505765896
50.	0.0808325	0.107756	1650087.	1.	0.2505807363965002
51.	0.0772569	0.0967369	1679766.	1.	0.23949647241960043
52.	0.0741841	0.0867174	1706391.	1.	0.2299708291291778
53.	0.0715353	0.0776374	1730242.	1.	0.2217594288590661
54.	0.0692454	0.0694323	1751585.	1.	0.21466072983341117
55.	0.0672606	0.0620358	1770663.	1.	0.20850783107103021
56.	0.0655361	0.0553818	1787701.	1.	0.2031619005017269
57.	0.0640345	0.0494062	1802907.	1.	0.19850693493186017
58.	0.0627244	0.044048	1816468.	1.	0.19444557242876762
59.	0.0615793	0.0392496	1828554.	1.	0.19089574632520237
60.	0.0605768	0.0349573	1839322.	1.	0.1877879534239724
61.	0.0596978	0.0311215	1848910.	1.	0.18506324381930367
62.	0.0589262	0.0276965	1857444.	1.	0.1826712638899943
63.	0.058248	0.0246405	1865038.	1.	0.18056887559229542
64.	0.0576513	0.0219155	1871793.	1.	0.1787190358573599
65.	0.0571258	0.019487	1877800.	1.	0.17708990092221616
66.	0.0566626	0.0173239	1883141.	1.	0.17565394336059936
67.	0.056254	0.0153979	1887889.	1.	0.17438729255472443
68.	0.0558933	0.0136837	1892108.	1.	0.17326921399436518
69.	0.0555747	0.0121585	1895858.	1.	0.17228169038804014
70.	0.0552932	0.0108018	1899189.	1.	0.1714090081402716
71.	0.0550444	0.00959547	1902148.	1.	0.17063749495550992
72.	0.0548242	0.00852291	1904777.	1.	0.16995504736518333
73.	0.0546294	0.0075696	1907112.	1.	0.16935124943738972
74.	0.054457	0.00672232	1909186.	1.	0.16881676339352272
75.	0.0543044	0.00596948	1911027.	1.	0.1683435654549834
76.	0.0541692	0.00530061	1912662.	1.	0.16792447209923053
77.	0.0540494	0.00470641	1914114.	1.	0.16755322276211237
78.	0.0539433	0.00417863	1915403.	1.	0.16722429887774354
79.	0.0538493	0.00370984	1916548.	1.	0.16693278929081473
80.	0.0537659	0.00329355	1917564.	1.	0.16667443376061464
81.	0.0536921	0.00292384	1918466.	1.	0.1664453911211274
82.	0.0536266	0.00259557	1919267.	1.	0.16624233705549174
83.	0.0535685	0.00230409	1919978.	1.	0.16606228615990076
84.	0.053517	0.00204528	1920609.	1.	0.1659026159611093
85.	0.0534713	0.00181552	1921169.	1.	0.165761017791498
86.	0.0534308	0.00161153	1921666.	1.	0.16563542698534636
87.	0.0533948	0.00143044	1922107.	1.	0.1655240273142322
88.	0.053363	0.00126968	1922499.	1.	0.16542521174382896
89.	0.0533347	0.00112696	1922847.	1.	0.1653375470335192
90.	0.0533096	0.00100029	1923155.	1.	0.16525978043799983
91.	0.0532873	0.000887834	1923429.	1.	0.16519078041328794
92.	0.0532676	0.000788024	1923672.	1.	0.16512956805410553
93.	0.0532501	0.000699419	1923888.	1.	0.16507525032077167
94.	0.0532345	0.000620781	1924080.	1.	0.16502706122920605
95.	0.0532207	0.000550973	1924250.	1.	0.16498429626141492
96.	0.0532085	0.00048902	1924401.	1.	0.1649463552260485
97.	0.0531976	0.000434023	1924535.	1.	0.16491268269686238
98.	0.053188	0.000385217	1924654.	1.	0.16488280756021123
99.	0.0531794	0.000341891	1924759.	1.	0.16485629227683296
100.	0.0531719	0.000303443	1924853.	1.	0.164832766510117
101.	0.0531651	0.000269313	1924936.	1.	0.16481188602902058
102.	0.0531591	0.000239025	1925009.	1.	0.16479335906866524
103.	0.0531538	0.000212139	1925075.	1.	0.16477691523755827
104.	0.0531491	0.00018828	1925133.	1.	0.16476232422271486
105.	0.053145	0.000167102	1925185.	1.	0.1647493739046209
106.	0.0531413	0.000148307	1925230.	1.	0.1647378822199637
107.	0.053138	0.000131625	1925271.	1.	0.16472768294413578
108.	0.053135	0.00011682	1925307.	1.	0.16471863199303308
109.	0.0531325	0.00010368	1925339.	1.	0.164710599179157
110.	0.0531302	0.0000920177	1925367.	1.	0.16470347040629013
111.	0.0531281	0.0000816672	1925393.	1.	0.1646971437528882
112.	0.0531263	0.0000724808	1925415.	1.	0.16469152884335572
113.	0.0531247	0.0000643277	1925435.	1.	0.16468654572488745
114.	0.0531233	0.0000570901	1925452.	1.	0.16468212231439375
115.	0.053122	0.0000506692	1925468.	1.	0.1646781981633207
116.	0.0531209	0.0000449693	1925482.	1.	0.1646747147570609
117.	0.0531199	0.0000399108	1925494.	1.	0.16467162333735852
118.	0.053119	0.0000354226	1925505.	1.	0.16466888060435378
119.	0.0531182	0.0000314377	1925515.	1.	0.16466644540201705
120.	0.0531175	0.0000279018	1925523.	1.	0.16466428468163705
121.	0.0531169	0.0000247638	1925531.	1.	0.1646623671298901
122.	0.0531163	0.0000219775	1925538.	1.	0.16466066451015787
123.	0.0531159	0.0000195055	1925544.	1.	0.1646591539725549
124.	0.0531154	0.0000173114	1925549.	1.	0.16465781320615014
125.	0.053115	0.0000153637	1925554.	1.	0.1646566230639119
126.	0.0531147	0.0000136358	1925558.	1.	0.16465556725473418
127.	0.0531144	0.0000121018	1925562.	1.	0.1646546298845093
128.	0.0531141	0.0000107403	1925565.	1.	0.16465379799682375
129.	0.0531139	0.00000953241	1925568.	1.	0.16465305992346282
130.	0.0531137	0.0000084598	1925571.	1.	0.16465240452420576
131.	0.0531135	0.0000075081	1925573.	1.	0.16465182300798611
132.	0.0531133	0.00000666384	1925575.	1.	0.16465130714795004
133.	0.0531132	0.00000591382	1925577.	1.	0.16465084886704906
134.	0.053113	0.00000524768	1925579.	1.	0.1646504418401563
135.	0.0531129	0.00000465691	1925580.	1.	0.16465008086418634
136.	0.0531128	0.00000413292	1925581.	1.	0.16464976069913687
137.	0.0531127	0.00000366761	1925582.	1.	0.16464947638319763
138.	0.0531127	0.00000325492	1925583.	1.	0.16464922422564454
139.	0.0531126	0.00000288903	1925584.	1.	0.164649000663165
