Mathematica;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;R;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i
;;0;0,999922;5,26735E-05;0,997875;-2,26E-06;-102,859;-194,343;;;;0;0,999922;5,27028E-05;0,614904;-0,101193;-165,651;-21985,5;;;;0;0,9999223;0,0000527;0,997528127;-3,08232E-06;-102,859;-194,343;;;;0;0,9999223;0,0000527;0,6147608;-0,101282843;-165,651;-21985,5
;;1;0,999895;7,09423E-05;0,997149;-4,07E-06;-,103;-194,348;;;;1;0,999913;5,40096E-05;0,6146;-0,101383;-165,684;-21495,3;;;;1;0,999895251;7,09794E-05;0,997528127;-3,08232E-06;-103,0596228;-194,347075;;;;1;0,999913371;5,4007E-05;0,6147608;-0,101282843;-165,6838834;-21495,27402
;;2;0,999859;9,54763E-05;0,996178;-7,32E-06;-,103;-194,352;;;;2;0,999904;5,53397E-05;0,614298;-0,101573;-165,717;-21019,6;;;;2;0,999858896;9,55266E-05;0,996684877;-5,54676E-06;-103,259795;-194,3517825;;;;2;0,999904231;5,53372E-05;0,614458103;-0,101472646;-165,7164899;-21019,44626
;;3;0,99981;0,000128366;0,994886;-1,31E-05;-,103;-194,358;;;;3;0,999895;0,000056693;0,613996;-0,101763;-165,749;-20557,8;;;;3;0,999810106;0,000128433;0,995560387;-9,955E-06;-103,4592324;-194,3572188;;;;3;0,999894876;5,66908E-05;0,614156089;-0,101662265;-165,7488196;-20557,5297
;;4;0,999745;0,000172355;0,993172;-0,000023418;-103,658;-194,364;;;;4;0,999885;5,80699E-05;0,613696;-0,101952;-165,781;-20109,4;;;;4;0,999744756;0,000172444;0,994065939;-1,78006E-05;-103,6575594;-194,363494;;;;4;0,999885302;5,80679E-05;0,613854821;-0,101851658;-165,7808725;-20109,05419
;;5;0,999657;0,000231007;0,99091;-4,16E-05;-103,855;-194,372;;;;5;0,999875;5,94704E-05;0,613395;-0,102141;-165,813;-19674;;;;5;0,999657447;0,000231126;0,992088465;-3,16797E-05;-103,8542841;-194,3707323;;;;5;0,999875506;5,94687E-05;0,613554306;-0,102040817;-165,8126487;-19673,57272
;;6;0,999541;0,0003089;0,987943;-7,33E-05;-104,049;-,194;;;;6;0,999865;6,08946E-05;0,613096;-0,10233;-165,844;-19251,2;;;;6;0,999541191;0,000309058;0,989486947;-5,60287E-05;-104,0487677;-194,3790726;;;;6;0,999865484;6,08932E-05;0,613254548;-0,102229737;-165,8441482;-19250,65336
;;7;0,999387;0,000411811;0,984085;-0,000128005;-104,241;-,194;;;;7;0,999855;6,23428E-05;0,612797;-0,102518;-165,875;-18840,5;;;;7;0,999387064;0,000412017;0,986089919;-9,82916E-05;-104,2401906;-194,3886675;;;;7;0,999855234;6,23416E-05;0,61295556;-0,102418411;-165,8753711;-18839,88013
;;8;0,999184;0,000546869;0,979122;-0,000221033;-104,428;-194,401;;;;8;0,999845;6,38149E-05;0,6125;-0,102707;-165,906;-18441,5;;;;8;0,999183863;0,000547137;0,981696343;-0,00017065;-104,4275175;-194,3996804;;;;8;0,999844751;6,3814E-05;0,612657353;-0,10260683;-165,9063175;-18440,85233
;;9;0,998918;0,000722627;0,972822;-0,000376166;-,105;-194,414;;;;9;0,999834;6,53112E-05;0,612203;-0,102895;-165,937;-18053,9;;;;9;0,998917846;0,000722973;0,97608206;-0,000292416;-104,6094664;-194,4122792;;;;9;0,999834031;6,53105E-05;0,612359937;-0,102794984;-165,9369875;-18053,184
;;10;0,998573;0,000948966;0,964954;-0,000628833;-104,785;-194,428;;;;10;0,999823;6,68316E-05;0,611906;-0,103082;-165,967;-17677,3;;;;10;0,998572624;0,000949405;0,969014259;-0,000492959;-104,7844886;-194,426627;;;;10;0,999823072;6,68313E-05;0,612063324;-0,102982865;-165,9673813;-17676,50276
;;11;0,99813;0,00123675;0,955322;-0,00102884;-104,951;-194,445;;;;11;0,999812;6,83764E-05;0,611611;-0,10327;-165,998;-17311,3;;;;11;0,998129338;0,001237297;0,960275859;-0,000814735;-104,95077;-194,4428665;;;;11;0,999811869;6,83764E-05;0,611767531;-0,103170461;-165,9974989;-17310,4501
;;12;0,997568;0,00159715;0,943793;-0,00164144;-105,107;-194,463;;;;12;0,9998;6,99456E-05;0,611316;-0,103457;-166,027;-16955,6;;;;12;0,997567224;0,001597832;0,949699042;-0,001315323;-105,1062637;-194,4611009;;;;12;0,99980042;6,99459E-05;0,611472565;-0,103357765;-166,0273406;-16954,6813
;;13;0,996866;0,0020407;0,930342;-0,00254505;-105,249;-194,484;;;;13;0,999789;7,15392E-05;0,611023;-0,103644;-166,057;-16609,9;;;;13;0,99686461;0,002041538;0,937202976;-0,002066952;-105,2487609;-194,4813719;;;;13;0,99978872;7,15399E-05;0,611178431;-0,103544772;-166,0569065;-16608,86339
;;14;0,996002;0,00257607;0,915075;-0,00382428;-105,377;-194,507;;;;14;0,999777;7,31574E-05;0,61073;-0,10383;-166,086;-16273,7;;;;14;0,996000301;0,00257708;0,922826609;-0,003151933;-105,3759988;-194,5036395;;;;14;0,999776766;7,31585E-05;0,610885145;-0,103731471;-166,0861968;-16272,67541
;;15;0,994957;0,00320884;0,898234;-0,00555863;-105,486;-194,531;;;;15;0,999764;7,48003E-05;0,610438;-0,104017;-166,115;-15946,9;;;;15;0,994955158;0,003210036;0,906745015;-0,004653393;-105,4857956;-194,5277676;;;;15;0,999764555;7,48017E-05;0,610592717;-0,103917853;-166,1152116;-15945,80799
;;16;0,993716;0,00394052;0,880178;-0,0078091;-105,577;-194,558;;;;16;0,999752;7,64678E-05;0,610147;-0,104203;-166,144;-15629,1;;;;16;0,9937136;0,00394191;0,889261465;-0,006642639;-105,57619;-194,553522;;;;16;0,999752082;7,64696E-05;0,610301158;-0,10410391;-166,1439513;-15627,96285
;;17;0,992267;0,00476806;0,861337;-0,0106065;-105,646;-194,585;;;;17;0,999739;0,00007816;0,609857;-0,104388;-166,172;-15320,1;;;;17;0,992264725;0,004769637;0,870774304;-0,009166296;-105,6455627;-194,5805817;;;;17;0,999739345;7,81623E-05;0,610010478;-0,104289632;-166,1724159;-15318,85234
;;18;0,990606;0,00568392;0,84216;-0,0139453;-105,693;-194,614;;;;18;0,999726;7,98771E-05;0,609567;-0,104573;-166,201;-15019,5;;;;18;0,990602875;0,00568567;0,851728285;-0,01223715;-105,6927185;-194,608561;;;;18;0,999726339;7,98798E-05;0,60972069;-0,104475011;-166,2006058;-15018,19905
;;19;0,988731;0,00667671;0,823069;-0,0177842;-105,718;-194,643;;;;19;0,999713;8,16189E-05;0,609279;-0,104758;-166,228;-14727,1;;;;19;0,988727596;0,006678621;0,832562873;-0,015831339;-105,7169209;-194,6370398;;;;19;0,999713061;8,1622E-05;0,609431803;-0,104660039;-166,2285213;-14725,73539
;;20;0,986647;0,00773222;0,804424;-0,0220527;-105,719;-194,673;;;;20;0,999699;8,33856E-05;0,608991;-0,104943;-166,256;-14442,6;;;;20;0,986643105;0,007734274;0,813670511;-0,019892175;-105,7178812;-194,6655927;;;;20;0,999699508;8,33892E-05;0,609143829;-0,104844705;-166,2561625;-14441,20326
;;21;0,984362;0,00883456;0,786505;-0,0266613;-105,697;-194,702;;;;21;0,999686;8,51772E-05;0,608705;-0,105127;-166,283;-14165,8;;;;21;0,984357446;0,008836749;0,795370994;-0,02433876;-105,6957132;-194,6938151;;;;21;0,999685675;8,51813E-05;0,608856778;-0,105029002;-166,2835298;-14164,35362
;;22;0,981886;0,0099673;0,769507;-0,0315122;-105,652;-194,731;;;;22;0,999671;8,69936E-05;0,608419;-0,10531;-166,311;-13896,4;;;;22;0,98188153;0,009969617;0,777902344;-0,02907652;-105,6508686;-194,7213408;;;;22;0,99967156;8,69982E-05;0,608570661;-0,10521292;-166,3106235;-13894,94617
;;23;0,979233;0,0111144;0,753556;-0,036508;-105,585;-194,759;;;;23;0,999657;8,88349E-05;0,608134;-0,105494;-166,337;-13634,2;;;;23;0,979228206;0,011116844;0,761424024;-0,034007192;-105,5840635;-194,7478525;;;;23;0,999657158;8,884E-05;0,608285488;-0,105396451;-166,3374438;-13632,74902
;;24;0,976417;0,0122609;0,738713;-0,0415587;-105,497;-194,786;;;;24;0,999642;9,07011E-05;0,607851;-0,105677;-166,364;-13379,1;;;;24;0,976411443;0,012263491;0,746027805;-0,039036677;-105,4962088;-194,7730847;;;;24;0,999642467;9,07068E-05;0,608001272;-0,105579586;-166,3639912;-13377,53837
;;25;0,973452;0,0133935;0,724995;-0,0465854;-105,389;-194,812;;;;25;0,999627;9,25921E-05;0,607568;-0,105859;-,166;-13130,6;;;;25;0,973445689;0,013396172;0,731752191;-0,044080185;-105,3883478;-194,7968218;;;;25;0,999627483;9,25984E-05;0,607718021;-0,105762316;-166,3902659;-13129,09821
;;26;0,970352;0,0145004;0,712384;-0,0515221;-105,262;-194,836;;;;26;0,999612;0,000094508;0,607286;-0,106041;-166,416;-12888,8;;;;26;0,970345361;0,014503312;0,718594815;-0,049065297;-105,2616036;-194,8188928;;;;26;0,999612201;9,45148E-05;0,607435746;-0,105944632;-166,4162684;-12887,21997
;;27;0,967132;0,0155722;0,700839;-0,056316;-105,118;-194,859;;;;27;0,999597;9,64487E-05;0,607005;-0,106223;-166,442;-12653,3;;;;27;0,967124506;0,01557523;0,706526012;-0,053932447;-105,1171385;-194,8391643;;;;27;0,999596619;9,64562E-05;0,607154459;-0,106126525;-166,4419989;-12651,70234
;;28;0,963805;0,0166008;0,690306;-0,0609265;-104,957;-194,881;;;;28;0,999581;9,84142E-05;0,606725;-0,106404;-166,467;-12424;;;;28;0,963796555;0,016604107;0,695497052;-0,058635144;-104,9561217;-194,8575321;;;;28;0,999580734;9,84223E-05;0,606874169;-0,106307987;-166,467458;-12422,35088
;;29;0,960383;0,0175803;0,68072;-0,065324;-104,781;-194,901;;;;29;0,999564;0,000100404;0,606447;-0,106585;-166,493;-12200,6;;;;29;0,960374178;0,017583871;0,685448384;-0,063138617;-104,7797055;-194,8739138;;;;29;0,999564541;0,000100413;0,606594887;-0,106489008;-166,4926459;-12198,97785
;;30;0,956879;0,0185061;0,672018;-0,0694883;-,105;-194,919;;;;30;0,999548;0,000102419;0,606169;-0,106766;-166,517;-11983,1;;;;30;0,956869221;0,018510034;0,676316084;-0,067417706;-104,5890108;-194,8882409;;;;30;0,999548037;0,000102429;0,606316623;-0,106669581;-166,5175631;-11981,40191
;;31;0,953303;0,0193752;0,664131;-0,0734066;-104,386;-194,936;;;;31;0,999531;0,000104459;0,605892;-0,106945;-166,542;-11771,2;;;;31;0,953292659;0,019379512;0,668033765;-0,071456116;-104,3851148;-194,9004522;;;;31;0,999531219;0,000104469;0,606039387;-0,106849695;-166,5422101;-11769,44792
;;32;0,949667;0,0201856;0,656997;-0,0770728;-,104;-194,952;;;;32;0,999514;0,000106523;0,605616;-0,107125;-166,566;-11564,7;;;;32;0,949654608;0,020190434;0,660536072;-0,075244461;-104,1690443;-194,9104868;;;;32;0,999514082;0,000106534;0,60576319;-0,107029344;-166,5665872;-11562,94665
;;33;0,945978;0,0209365;0,650553;-0,0804854;-103,942;-194,966;;;;33;0,999497;0,000108611;0,605342;-0,107304;-166,591;-11363,5;;;;33;0,945964347;0,020941958;0,653760191;-0,078778958;-103,941772;-194,9182786;;;;33;0,999496625;0,000108623;0,60548804;-0,107208517;-166,590695;-11361,73464
;;34;0,942245;0,0216279;0,644742;-0,0836469;-103,705;-194,979;;;;34;0,999479;0,000110724;0,605068;-0,107482;-166,614;-11167,4;;;;34;0,94223035;0,021634102;0,647646714;-0,082060051;-103,7042145;-194,9237509;;;;34;0,999478843;0,000110736;0,605213949;-0,107387206;-166,614534;-11165,6539
;;35;0,938477;0,0222606;0,639511;-0,0865626;-103,458;-194,991;;;;35;0,999461;0,000112861;0,604796;-0,10766;-166,638;-10976,4;;;;35;0,938460341;0,022267584;0,642140195;-0,085091629;-103,4572322;-194,9268107;;;;35;0,999460734;0,000112874;0,604940926;-0,107565403;-166,6381045;-10974,55177
;;36;0,93468;0,0228357;0,634809;-0,0892401;-103,202;-195,001;;;;36;0,999442;0,000115022;0,604524;-0,107838;-166,661;-10790,1;;;;36;0,934661334;0,022843683;0,637189375;-0,087880064;-103,2016309;-194,9273437;;;;36;0,999442293;0,000115036;0,604668981;-0,107743099;-166,6614072;-10788,28072
;;37;0,930861;0,023355;0,630592;-0,0916883;-102,938;-195,011;;;;37;0,999423;0,000117208;0,604254;-0,108015;-166,684;-10608,6;;;;37;0,930839689;0,023364118;0,632747139;-0,090433478;-102,9381629;-194,9252091;;;;37;0,999423517;0,000117222;0,604398123;-0,107920285;-166,6844425;-10606,6981
;;38;0,927025;0,0238205;0,626818;-0,0939172;-102,668;-195,019;;;;38;0,999404;0,000119417;0,603985;-0,108191;-166,707;-10431,5;;;;38;0,927001159;0,023830947;0,628770218;-0,092761186;-102,6675298;-194,9202343;;;;38;0,999404403;0,000119433;0,604128362;-0,108096954;-166,707211;-10429,66606
;;39;0,923178;0,0242345;0,623449;-0,0959374;-,102;-195,026;;;;39;0,999385;0,00012165;0,603717;-0,108367;-166,729;-10258,9;;;;39;0,923150936;0,024246471;0,625219311;-0,094873367;-102,3903848;-194,9122087;;;;39;0,999384948;0,000121666;0,603859708;-0,108273096;-166,7297132;-10257,05129
;;40;0,919324;0,0245994;0,620451;-0,0977599;-102,107;-195,032;;;;40;0,999365;0,000123907;0,60345;-0,108542;-166,752;-10090,6;;;;40;0,919293701;0,024613165;0,622058589;-0,096780596;-102,1073357;-194,9008774;;;;40;0,999365149;0,000123924;0,60359217;-0,108448703;-166,7519497;-10088,72488
;;41;0,915468;0,0249178;0,617792;-0,0993957;-101,818;-195,038;;;;41;0,999345;0,000126187;0,603184;-0,108717;-166,774;-9926,49;;;;41;0,915433661;0,024933615;0,61925551;-0,098493624;-101,8189475;-194,8859345;;;;41;0,999345002;0,000126205;0,603325756;-0,108623766;-166,773921;-9924,56219
;;42;0,911614;0,0251922;0,615443;-0,100856;-101,525;-195,043;;;;42;0,999324;0,00012849;0,602919;-0,108891;-166,795;-9766,39;;;;42;0,91157459;0,025210463;0,616780548;-0,100023171;-101,5257453;-194,8670147;;;;42;0,999324503;0,000128509;0,603060477;-0,108798279;-166,7956278;-9764,442656
;;43;0,907765;0,0254254;0,613379;-0,102151;-101,227;-195,046;;;;43;0,999304;0,000130817;0,602656;-0,109065;-166,817;-9610,21;;;;43;0,907719868;0,025446373;0,614607212;-0,101379648;-101,2282175;-194,8436852;;;;43;0,999303651;0,000130837;0,602796341;-0,108972231;-166,8170707;-9608,249665
;;44;0,903924;0,0256199;0,611576;-0,103292;-100,925;-,195;;;;44;0,999282;0,000133167;0,602393;-0,109238;-166,838;-9457,84;;;;44;0,903872493;0,025643991;0,612710167;-0,102573744;-100,9268166;-194,8154313;;;;44;0,999282442;0,000133188;0,602533357;-0,109145616;-166,8382503;-9455,870404
;;45;0,900094;0,0257782;0,610013;-0,104288;-,101;-195,052;;;;45;0,999261;0,000135539;0,602132;-0,109411;-166,859;-9309,18;;;;45;0,900035149;0,025805926;0,611068898;-0,103614677;-100,621965;-194,7816519;;;;45;0,999260872;0,000135561;0,602271534;-0,109318424;-166,8591671;-9307,195727
;;46;0,896277;0,0259028;0,608669;-0,10515;-100,311;-195,054;;;;46;0,999239;0,000137934;0,601872;-0,109583;-166,879;-9164,12;;;;46;0,896210203;0,025934725;0,609663068;-0,104512035;-100,3140552;-194,7416404;;;;46;0,999238939;0,000137957;0,602010881;-0,109490648;-166,879822;-9162,120026
;;47;0,892476;0,0259962;0,607526;-0,105886;-,10;-195,055;;;;47;0,999217;0,000140352;0,601613;-0,109754;-,167;-9022,55;;;;47;0,89239974;0,026032865;0,608475119;-0,105274505;-100,0034528;-194,6945725;;;;47;0,99921664;0,000140376;0,601751405;-0,10966228;-166,9002154;-9020,541098
;;48;0,888693;0,0260607;0,606569;-0,106505;-99,6865;-195,056;;;;48;0,999194;0,000142791;0,601355;-0,109925;-,167;-8884,38;;;;48;0,888605579;0,026102736;0,60748867;-0,105910546;-99,69049863;-194,6394847;;;;48;0,999193971;0,000142817;0,601493117;-0,109833312;-166,9203481;-8882,360032
;;49;0,88493;0,0260984;0,605783;-0,107016;-99,3706;-195,056;;;;49;0,999171;0,000145253;0,601099;-0,110095;-,167;-8749,52;;;;49;0,884829286;0,026146636;0,606689084;-0,106428001;-99,3755103;-194,5752531;;;;49;0,99917093;0,00014528;0,601236022;-0,110003735;-166,9402208;-8747,481087
;;50;0,881187;0,0261114;0,605153;-0,107427;-99,0529;-195,056;;;;50;0,999148;0,000147737;0,600843;-0,110264;-166,959;-8617,86;;;;50;0,881072207;0,026166774;0,606063748;-0,106833894;-99,0587855;-194,5005725;;;;50;0,999147514;0,000147765;0,600980131;-0,110173543;-166,9598342;-8615,811581
;;51;0,877467;0,0261018;0,604667;-0,107744;-98,7335;-195,056;;;;51;0,999124;0,000150242;0,600589;-0,110433;-166,979;-8489,32;;;;51;0,877335471;0,026165262;0,605601379;-0,107134703;-98,74060367;-194,4139284;;;;51;0,99912372;0,000150271;0,600725451;-0,110342727;-166,979189;-8487,261786
;;52;0,873771;0,0260713;0,604314;-0,107975;-98,4128;-195,055;;;;52;0,9991;0,000152768;0,600336;-0,110602;-166,998;-8363,81;;;;52;0,873620007;0,02614412;0,605291829;-0,107336415;-98,42122769;-194,3135633;;;;52;0,999099545;0,000152798;0,60047199;-0,110511281;-166,9982859;-8361,744821
;;53;0,870099;0,0260219;0,604084;-0,108126;-98,0909;-195,054;;;;53;0,999075;0,000155316;0,600085;-0,110769;-167,017;-8241,25;;;;53;0,869926548;0,026105279;0,605126342;-0,107444353;-98,10090589;-194,1974406;;;;53;0,999074986;0,000155347;0,600219755;-0,110679195;-167,0171257;-8239,176553
;;54;0,866453;0,0259551;0,603965;-0,108204;-97,7681;-195,052;;;;54;0,99905;0,000157884;0,599834;-0,110936;-167,035;-8121,56;;;;54;0,866255644;0,026050586;0,605097497;-0,107463176;-97,7798741;-194,0631996;;;;54;0,999050041;0,000157917;0,599968754;-0,110846463;-167,035709;-8119,475502
;;55;0,862833;0,0258725;0,603951;-0,108213;-97,4445;-,195;;;;55;0,999025;0,000160473;0,599585;-0,111102;-167,054;-8004,66;;;;55;0,862607666;0,025981807;0,605199022;-0,107396937;-97,4583574;-193,9081079;;;;55;0,999024706;0,000160507;0,599718996;-0,111013077;-167,0540368;-8002,56275
;;56;0,859241;0,0257755;0,604032;-0,10816;-97,1203;-195,048;;;;56;0,998999;0,000163082;0,599337;-0,111268;-167,072;-7890,47;;;;56;0,858982805;0,025900641;0,605425881;-0,107249024;-97,13657203;-193,7290045;;;;56;0,99899898;0,000163117;0,599470486;-0,11117903;-167,0721097;-7888,361847
;;57;0,855676;0,0256656;0,604201;-0,108049;-96,7957;-195,046;;;;57;0,998973;0,000165711;0,599091;-0,111433;-167,089;-7778,91;;;;57;0,855381079;0,025808723;0,605774304;-0,107022121;-96,81472743;-193,5222322;;;;57;0,998972859;0,000165748;0,599223232;-0,111344315;-167,0899285;-7776,798734
;;58;0,85214;0,0255439;0,604451;-0,107886;-96,4708;-195,043;;;;58;0,998946;0,00016836;0,598845;-0,111597;-167,107;-7669,92;;;;58;0,851802326;0,025707636;0,606241791;-0,1067182;-96,4930282;-193,283562;;;;58;0,998946342;0,000168398;0,598977241;-0,111508924;-167,1074941;-7667,801651
;;59;0,848633;0,0254116;0,604776;-0,107673;-96,1458;-,195;;;;59;0,998919;0,000171028;0,598601;-0,111761;-167,124;-7563,43;;;;59;0,848246204;0,025598922;0,606827175;-0,106338471;-96,17167625;-193,0081043;;;;59;0,998919425;0,000171068;0,598732521;-0,111672851;-167,1248072;-7561,301064
;;60;0,845154;0,0252699;0,60517;-0,107416;-95,8207;-195,037;;;;60;0,998892;0,000173715;0,598358;-0,111924;-167,141;-7459,37;;;;60;0,844712179;0,025484096;0,607530704;-0,105883333;-95,85087309;-192,6902072;;;;60;0,998892106;0,000173757;0,598489077;-0,111836088;-167,1418687;-7457,22959
;;61;0,841705;0,0251196;0,605627;-0,107118;-95,4957;-195,034;;;;61;0,998864;0,000176421;0,598117;-0,112086;-167,158;-7357,66;;;;61;0,841199519;0,025364657;0,608354162;-0,105352314;-95,53082223;-192,3233386;;;;61;0,998864383;0,000176464;0,598246917;-0,111998629;-167,1586795;-7355,521916
;;62;0,838285;0,0249619;0,606143;-0,106782;-95,171;-195,031;;;;62;0,998836;0,000179146;0,597877;-0,112248;-167,175;-7258,26;;;;62;0,837707272;0,025242106;0,609301018;-0,104743984;-95,2117319;-191,8999496;;;;62;0,998836253;0,000179191;0,598006047;-0,112160467;-167,1752403;-7256,114738
;;63;0,834896;0,0247974;0,606713;-0,106412;-94,8465;-195,027;;;;63;0,998808;0,000181889;0,597638;-0,112408;-167,191;-7161,1;;;;63;0,834234255;0,025117966;0,610376626;-0,104055865;-94,89381803;-191,4113179;;;;63;0,998807714;0,000181935;0,597766472;-0,112321595;-167,1915521;-7158,946686
;;64;0,831535;0,0246271;0,607332;-0,106011;-94,5224;-195,024;;;;64;0,998779;0,00018465;0,5974;-0,112568;-167,207;-7066,12;;;;64;0,830779023;0,024993796;0,611588473;-0,10328431;-94,57730759;-190,8473655;;;;64;0,998778763;0,000184698;0,5975282;-0,112482006;-167,2076156;-7063,958259
;;65;0,828205;0,0244516;0,607997;-0,105582;-94,1988;-,195;;;;65;0,998749;0,000187428;0,597164;-0,112728;-167,223;-6973,26;;;;65;0,827339837;0,024871224;0,612946504;-0,10242435;-94,26244248;-190,1964493;;;;65;0,998749399;0,000187478;0,597291236;-0,112641694;-167,2234319;-6971,091766
;;66;0,824905;0,0242716;0,608704;-0,105127;-93,8757;-195,016;;;;66;0,99872;0,000190224;0,596929;-0,112886;-167,238;-6882,47;;;;66;0,823914627;0,02475197;0,61446352;-0,101469522;-93,9494839;-189,4451185;;;;66;0,99871962;0,000190275;0,597055587;-0,112800653;-167,2390017;-6880,291261
;;67;0,821635;0,0240877;0,60945;-0,104648;-93,5533;-195,012;;;;67;0,99869;0,000193037;0,596695;-0,113044;-167,254;-6793,68;;;;67;0,82050094;0,024637883;0,616155701;-0,100411639;-93,63871758;-188,5778351;;;;67;0,998689423;0,000193089;0,596821256;-0,112958876;-167,254326;-6791,502487
;;68;0,818394;0,0239005;0,610232;-0,104148;-93,2316;-195,008;;;;68;0,998659;0,000195866;0,596463;-0,113201;-167,269;-6706,86;;;;68;0,817095877;0,024530982;0,618043257;-0,099240522;-93,33045989;-187,5766504;;;;68;0,998658806;0,00019592;0,596588251;-0,113116358;-167,2694058;-6704,672818
;;69;0,815183;0,0237105;0,611046;-0,103629;-92,9106;-195,004;;;;69;0,998628;0,000198711;0,596231;-0,113358;-167,284;-6621,94;;;;69;0,813696011;0,024433511;0,620151278;-0,097943655;-93,02506518;-186,4208319;;;;69;0,998627767;0,000198767;0,596356576;-0,113273091;-167,2842418;-6619,751205
;;70;0,812002;0,0235182;0,611889;-0,103093;-92,5903;-,195;;;;70;0,998596;0,000201572;0,596002;-0,113513;-167,298;-6538,89;;;;70;0,810297285;0,024348002;0,622510829;-0,096505761;-92,72293468;-185,0864325;;;;70;0,998596304;0,00020163;0,596126237;-0,11342907;-167,2988352;-6536,688123
;;71;0,80885;0,023324;0,612761;-0,102541;-92,271;-194,996;;;;71;0,998565;0,000204449;0,595773;-0,113668;-167,313;-6457,64;;;;71;0,806894882;0,024277361;0,625160399;-0,094908274;-92,42452741;-183,5457932;;;;71;0,998564416;0,000204509;0,595897239;-0,11358429;-167,3131868;-6455,435521
;;72;0,805728;0,0231284;0,613657;-0,101976;-91,9525;-194,992;;;;72;0,998532;0,000207341;0,595546;-0,113822;-167,327;-6378,16;;;;72;0,803483052;0,024224977;0,62814782;-0,093128655;-92,1303737;-181,7669686;;;;72;0,9985321;0,000207403;0,595669586;-0,113738744;-167,3272975;-6375,946777
;;73;0,802635;0,0229316;0,614577;-0,101398;-91,6349;-194,987;;;;73;0,9985;0,000210247;0,595321;-0,113976;-167,341;-6300,39;;;;73;0,800054887;0,024194873;0,631532866;-0,091139538;-91,84109236;-179,7130643;;;;73;0,998499355;0,000210311;0,595443283;-0,113892427;-167,3411684;-6298,176642
;;74;0,79957;0,022734;0,615518;-0,100809;-91,3184;-194,983;;;;74;0,998466;0,000213168;0,595096;-0,114128;-167,354;-6224,3;;;;74;0,796602019;0,024191898;0,635390833;-0,088907599;-91,5574125;-177,3414718;;;;74;0,998466179;0,000213234;0,595218334;-0,114045333;-167,3548005;-6222,081206
;;75;0,796535;0,0225359;0,616477;-0,100211;-91,0028;-194,979;;;;75;0,998433;0,000216103;0,594873;-0,11428;-167,368;-6149,84;;;;75;0,793114205;0,024222009;0,639817559;-0,086392103;-91,28020212;-174,6029863;;;;75;0,99843257;0,000216171;0,594994745;-0,114197456;-167,3681946;-6147,617842
;;76;0,793528;0,0223377;0,617455;-0,0996042;-90,6882;-194,975;;;;76;0,998399;0,000219052;0,594652;-0,114431;-167,381;-6076,98;;;;76;0,789578757;0,024292657;0,644936587;-0,08354296;-91,01050596;-171,4407891;;;;76;0,998398528;0,000219122;0,594772519;-0,114348793;-167,3813519;-6074,745173
;;77;0,790549;0,0221394;0,618448;-0,0989901;-90,3747;-,195;;;;77;0,998364;0,000222013;0,594432;-0,114581;-167,394;-6005,66;;;;77;0,78597972;0,024413355;0,650909878;-0,080298094;-90,74959709;-167,7892749;;;;77;0,998364049;0,000222086;0,594551659;-0,114499336;-167,3942733;-6003,423029
;;78;0,787599;0,0219414;0,619456;-0,0983697;-90,0623;-194,966;;;;78;0,998329;0,000224988;0,594213;-0,114731;-167,406;-5935,85;;;;78;0,782296659;0,024596541;0,657954334;-0,076579782;-90,49904922;-163,5726934;;;;78;0,998329133;0,000225062;0,594332171;-0,114649082;-167,4069598;-5933,612409
;;79;0,784676;0,0217438;0,620477;-0,0977439;-89,751;-194,961;;;;79;0,998294;0,000227975;0,593995;-0,114879;-167,419;-5867,52;;;;79;0,778502826;0,024858903;0,666366933;-0,072289807;-90,26084;-158,7035951;;;;79;0,998293779;0,000228052;0,594114057;-0,114798025;-167,4194125;-5865,275439
;;80;0,781781;0,0215469;0,621509;-0,0971136;-89,4408;-194,957;;;;80;0,998258;0,000230975;0,593779;-0,115027;-167,431;-5800,62;;;;80;0,774562246;0,02522355;0,676567395;-0,067302356;-90,03750571;-153,0810395;;;;80;0,998257984;0,000231053;0,593897322;-0,114946161;-167,4316324;-5798,375339
;;81;0,778913;0,0213507;0,622553;-0,0964796;-89,1318;-194,953;;;;81;0,998222;0,000233985;0,593565;-0,115174;-167,443;-5735,13;;;;81;0,770424847;0,025723717;0,689172303;-0,061454025;-89,83238315;-146,5885298;;;;81;0,998221748;0,000234066;0,593681968;-0,115093484;-167,4436206;-5732,876388
;;82;0,776072;0,0211555;0,623606;-0,0958427;-88,8239;-194,948;;;;82;0,998185;0,000237008;0,593351;-0,11532;-167,455;-5671;;;;82;0,766017783;0,026409565;0,705133224;-0,054529969;-89,65000962;-139,0916444;;;;82;0,99818507;0,000237091;0,593467998;-0,11523999;-167,455378;-5668,743888
;;83;0,773258;0,0209614;0,624667;-0,0952035;-88,5173;-194,944;;;;83;0,998148;0,000240041;0,593139;-0,115465;-167,466;-5608,21;;;;83;0,761228681;0,027361669;0,726017003;-0,04624621;-89,49683422;-130,4353176;;;;83;0,998147947;0,000240126;0,593255417;-0,115385675;-167,4669057;-5605,944135
