Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i
;202;0,08720467;1,29E-05;1;-5,60300831;-287080,4149;1953521824;;;;202;0,990690501;0,000574378;0,5774962;-23,53704377;-167,536558;-2659,674734
;203;0,087204199;1,16E-05;1;-5,60300831;-299009,4406;2257964128;;;;203;0,990606336;0,000576348;0,5774334;-23,66363934;-167,5290321;-2652,058547
;204;0,087203774;1,04E-05;1;-5,60300831;-311432,555;2609851569;;;;204;0,99052191;0,000578299;0,5773715;-23,79028024;-167,5214145;-2644,560896
;205;0,087203391;9,40E-06;1;-5,60300831;-324370,2344;3016578126;;;;205;0,990437225;0,000580232;0,5773104;-23,91696582;-167,5137061;-2637,179887
;206;0,087203046;8,47E-06;1;-5,60300831;-337843,8022;3486690081;;;;206;0,990352283;0,000582146;0,5772503;-24,04369544;-167,5059079;-2629,91366
;207;0,087202736;7,63E-06;1;-5,60300831;-351875,4652;4030065592;;;;207;0,990267088;0,000584042;0,577191;-24,17046846;-167,4980208;-2622,76039
;208;0,087202456;6,88E-06;1;-5,60300831;-366488,3493;4658122252;;;;208;0,990181643;0,000585919;0,5771327;-24,29728423;-167,4900457;-2615,718286
;209;0,087202204;6,20E-06;1;-5,60300831;-381706,538;5384057010;;;;209;0,990095949;0,000587777;0,5770752;-24,42414213;-167,4819834;-2608,785591
;210;0,087201976;5,58E-06;1;-5,60300831;-397555,1122;6223123459;;;;210;0,990010009;0,000589617;0,5770186;-24,55104153;-167,473835;-2601,960579
;211;0,087201772;5,03E-06;1;-5,60300831;-414060,1913;7192952358;;;;211;0,989923826;0,000591439;0,5769628;-24,67798179;-167,4656012;-2595,241557
;212;0,087201587;4,53E-06;1;-5,60300831;-431248,9764;8313922089;;;;212;0,989837402;0,000593242;0,576908;-24,8049623;-167,457283;-2588,626862
;213;0,087201421;4,08E-06;1;-5,60300831;-449149,7949;9609586861;;;;213;0,989750741;0,000595027;0,5768539;-24,93198245;-167,4488812;-2582,114863
;214;0,087201271;3,68E-06;1;-5,60300831;-467792,1476;11107171635;;;;214;0,989663844;0,000596794;0,5768007;-25,05904162;-167,4403967;-2575,703956
;215;0,087201136;3,32E-06;1;-5,60300831;-487206,7568;12838144185;;;;215;0,989576714;0,000598542;0,5767483;-25,18613921;-167,4318305;-2569,392569
;216;0,087201015;2,99E-06;1;-5,60300831;-507425,6175;14838876311;;;;216;0,989489354;0,000600272;0,5766969;-25,31327461;-167,4231833;-2563,179158
;217;0,087200905;2,69E-06;1;-5,60300831;-528482,0495;17151408097;;;;217;0,989401767;0,000601984;0,5766461;-25,44044722;-167,4144559;-2557,062204
;218;0,087200806;2,43E-06;1;-5,60300831;-550410,7529;19824331268;;;;218;0,989313954;0,000603678;0,5765963;-25,56765646;-167,4056494;-2551,040219
;219;0,087200717;2,19E-06;1;-5,60300831;-573247,8648;22913810220;;;;219;0,989225919;0,000605353;0,5765472;-25,69490172;-167,3967644;-2545,111739
;220;0,087200637;1,97E-06;1;-5,60300831;-597031,0192;26484762165;;;;220;0,989137663;0,000607011;0,5764989;-25,82218244;-167,3878019;-2539,275327
;221;0,087200565;1,77E-06;1;-5,60300831;-621799,4089;30612221193;;;;221;0,989049191;0,000608651;0,5764515;-25,94949802;-167,3787627;-2533,529572
;222;0,0872005;1,60E-06;1;-5,60300831;-647593,85;35382914915;;;;222;0,988960503;0,000610273;0,5764049;-26,07684789;-167,3696475;-2527,873088
;223;0,087200441;1,44E-06;1;-5,60300831;-674456,8491;40897086816;;;;223;0,988871602;0,000611877;0,5763589;-26,20423147;-167,3604573;-2522,304512
;224;0,087200389;1,30E-06;1;-5,60300831;-702432,6736;47270602602;;;;224;0,988782491;0,000613463;0,5763139;-26,33164821;-167,3511928;-2516,822507
;225;0,087200341;1,17E-06;1;-5,60300831;-731567,4247;54637384814;;;;225;0,988693173;0,000615031;0,5762695;-26,45909753;-167,3418549;-2511,425757
;226;0,087200298;1,05E-06;1;-5,60300831;-761909,1128;63152226856;;;;226;0,98860365;0,000616582;0,576226;-26,58657888;-167,3324443;-2506,112972
;227;0,08720026;9,49E-07;1;-5,60300831;-793507,7371;72994045564;;;;227;0,988513924;0,000618115;0,5761832;-26,7140917;-167,3229618;-2500,882883
;228;0,087200225;8,55E-07;1;-5,60300831;-826415,3682;84369640672;;;;228;0,988423997;0,000619631;0,5761411;-26,84163545;-167,3134083;-2495,734241
;229;0,087200193;7,70E-07;1;-5,60300831;-860686,2331;97518040160;;;;229;0,988333873;0,000621129;0,5760999;-26,96920957;-167,3037844;-2490,665822
;230;0,087200165;6,94E-07;1;-5,60300831;-896376,8053;1,13E+11;;;;230;0,988243553;0,00062261;0,5760593;-27,09681352;-167,2940911;-2485,67642
;231;0,08720014;6,25E-07;1;-5,60300831;-933545,8976;1,30E+11;;;;231;0,988153041;0,000624074;0,5760195;-27,22444677;-167,2843291;-2480,764853
;232;0,087200117;5,64E-07;1;-5,60300831;-972254,759;1,51E+11;;;;232;0,988062337;0,00062552;0,5759805;-27,35210879;-167,2744991;-2475,929956
;233;0,087200096;5,08E-07;1;-5,60300831;-1012567,176;1,74E+11;;;;233;0,987971446;0,00062695;0,5759421;-27,47979904;-167,2646019;-2471,170586
;234;0,087200077;4,57E-07;1;-5,60300831;-1054549,575;2,01E+11;;;;234;0,987880368;0,000628362;0,5759044;-27,607517;-167,2546382;-2466,485618
;235;0,087200061;4,12E-07;1;-5,60300831;-1098271,139;2,33E+11;;;;235;0,987789107;0,000629757;0,5758676;-27,73526214;-167,2446089;-2461,873948
;236;0,087200046;3,71E-07;1;-5,60300831;-1143803,912;2,69E+11;;;;236;0,987697665;0,000631135;0,5758313;-27,86303396;-167,2345146;-2457,334487
;237;0,087200032;3,35E-07;1;-5,60300831;-1191222,924;3,11E+11;;;;237;0,987606043;0,000632497;0,5757958;-27,99083194;-167,2243561;-2452,866168
;238;0,08720002;3,02E-07;1;-5,60300831;-1240606,313;3,59E+11;;;;238;0,987514246;0,000633842;0,575761;-28,11865557;-167,2141341;-2448,46794
;239;0,087200009;2,72E-07;1;-5,60300831;-1292035,455;4,15E+11;;;;239;0,987422273;0,00063517;0,5757269;-28,24650434;-167,2038494;-2444,13877
;240;0,087199999;2,45E-07;1;-5,60300831;-1345595,095;4,80E+11;;;;240;0,987330129;0,000636482;0,5756935;-28,37437776;-167,1935026;-2439,877642
;241;0,08719999;2,21E-07;1;-5,60300831;-1401373,489;5,54E+11;;;;241;0,987237815;0,000637777;0,5756606;-28,50227534;-167,1830946;-2435,683557
;242;0,087199982;1,99E-07;1;-5,60300831;-1459462,55;6,41E+11;;;;242;0,987145334;0,000639056;0,5756286;-28,63019657;-167,1726259;-2431,555532
;243;0,087199974;1,79E-07;1;-5,60300831;-1519957,998;7,41E+11;;;;243;0,987052687;0,000640319;0,5755972;-28,75814097;-167,1620974;-2427,4926
;244;0,087199968;1,61E-07;1;-5,60300831;-1582959,517;8,56E+11;;;;244;0,986959877;0,000641565;0,5755663;-28,88610807;-167,1515097;-2423,493811
;245;0,087199962;1,45E-07;1;-5,60300831;-1648570,921;9,90E+11;;;;245;0,986866906;0,000642796;0,5755363;-29,01409737;-167,1408634;-2419,55823
;246;0,087199956;1,31E-07;1;-5,60300831;-1716900,325;1,14E+12;;;;246;0,986773777;0,00064401;0,5755068;-29,1421084;-167,1301594;-2415,684936
;247;0,087199952;1,18E-07;1;-5,60300831;-1788060,323;1,32E+12;;;;247;0,986680491;0,000645209;0,575478;-29,27014069;-167,1193982;-2411,873024
;248;0,087199947;1,06E-07;1;-5,60300831;-1862168,17;1,53E+12;;;;248;0,986587051;0,000646392;0,5754498;-29,39819378;-167,1085806;-2408,121604
;249;0,087199943;9,58E-08;1;-5,60300831;-1939345,983;1,77E+12;;;;249;0,986493459;0,000647559;0,5754222;-29,5262672;-167,0977072;-2404,4298
;250;0,08719994;8,63E-08;1;-5,60300831;-2019720,934;2,04E+12;;;;250;0,986399716;0,00064871;0,5753953;-29,65436048;-167,0867787;-2400,796748
;251;0,087199937;7,78E-08;1;-5,60300831;-2103425,464;2,36E+12;;;;251;0,986305826;0,000649846;0,5753691;-29,78247318;-167,0757958;-2397,221602
;252;0,087199934;7,01E-08;1;-5,60300831;-2190597,501;2,73E+12;;;;252;0,98621179;0,000650967;0,5753433;-29,91060484;-167,0647591;-2393,703525
;253;0,087199931;6,31E-08;1;-5,60300831;-2281380,686;3,15E+12;;;;253;0,98611761;0,000652072;0,5753182;-30,03875501;-167,0536692;-2390,241696
;254;0,087199929;5,69E-08;1;-5,60300831;-2375924,61;3,64E+12;;;;254;0,986023289;0,000653163;0,5752938;-30,16692325;-167,0425268;-2386,835306
;255;0,087199927;5,13E-08;1;-5,60300831;-2474385,062;4,21E+12;;;;255;0,985928828;0,000654238;0,5752699;-30,29510912;-167,0313326;-2383,483558
;256;0,087199925;4,62E-08;1;-5,60300831;-2576924,282;4,87E+12;;;;256;0,985834229;0,000655298;0,5752466;-30,42331218;-167,0200872;-2380,18567
;257;0,087199923;4,16E-08;1;-5,60300831;-2683711,234;5,63E+12;;;;257;0,985739495;0,000656343;0,5752239;-30,551532;-167,0087912;-2376,940869
;258;0,087199922;3,75E-08;1;-5,60300831;-2794921,879;6,50E+12;;;;258;0,985644627;0,000657374;0,5752018;-30,67976815;-166,9974452;-2373,748397
;259;0,08719992;3,38E-08;1;-5,60300831;-2910739,468;7,52E+12;;;;259;0,985549628;0,00065839;0,5751802;-30,8080202;-166,9860499;-2370,607504
;260;0,087199919;3,04E-08;1;-5,60300831;-3031354,843;8,69E+12;;;;260;0,985454499;0,000659391;0,5751593;-30,93628773;-166,9746059;-2367,517456
;261;0,087199918;2,74E-08;1;-5,60300831;-3156966,75;1,00E+13;;;;261;0,985359243;0,000660378;0,5751389;-31,06457033;-166,9631137;-2364,477527
;262;0,087199917;2,47E-08;1;-5,60300831;-3287782,172;1,16E+13;;;;262;0,985263861;0,00066135;0,5751191;-31,19286757;-166,951574;-2361,487002
;263;0,087199916;2,23E-08;1;-5,60300831;-3424016,661;1,34E+13;;;;263;0,985168356;0,000662308;0,5750998;-31,32117905;-166,9399874;-2358,54518
;264;0,087199915;2,01E-08;1;-5,60300831;-3565894,702;1,55E+13;;;;264;0,985072729;0,000663253;0,5750811;-31,44950437;-166,9283545;-2355,651367
;265;0,087199915;1,81E-08;1;-5,60300831;-3713650,077;1,79E+13;;;;265;0,984976982;0,000664183;0,5750629;-31,57784311;-166,9166759;-2352,804882
;266;0,087199914;1,63E-08;1;-5,60300831;-3867526,255;2,07E+13;;;;266;0,984881116;0,000665099;0,5750453;-31,70619488;-166,9049521;-2350,005053
;267;0,087199913;1,47E-08;1;-5,60300831;-4027776,788;2,39E+13;;;;267;0,984785135;0,000666001;0,5750282;-31,83455928;-166,8931838;-2347,251219
;268;0,087199913;1,32E-08;1;-5,60300831;-4194665,733;2,77E+13;;;;268;0,98468904;0,00066689;0,5750116;-31,96293591;-166,8813715;-2344,542727
;269;0,087199912;1,19E-08;1;-5,60300831;-4368468,084;3,20E+13;;;;269;0,984592832;0,000667765;0,5749956;-32,0913244;-166,8695158;-2341,878935
;270;0,087199912;1,07E-08;1;-5,60300831;-4549470,227;3,70E+13;;;;270;0,984496514;0,000668627;0,5749801;-32,21972434;-166,8576172;-2339,259212
;271;0,087199912;9,67E-09;1;-5,60300831;-4737970,413;4,27E+13;;;;271;0,984400086;0,000669475;0,5749652;-32,34813537;-166,8456763;-2336,682933
;272;0,087199911;8,71E-09;1;-5,60300831;-4934279,245;4,94E+13;;;;272;0,984303552;0,00067031;0,5749506;-32,4765571;-166,8336937;-2334,149485
;273;0,087199911;7,85E-09;1;-5,60300831;-5138720,197;5,71E+13;;;;273;0,984206913;0,000671132;0,5749367;-32,60498915;-166,8216699;-2331,658262
;274;0,087199911;7,07E-09;1;-5,60300831;-5351630,137;6,60E+13;;;;274;0,98411017;0,000671941;0,5749232;-32,73343115;-166,8096055;-2329,208668
;275;0,08719991;6,37E-09;1;-5,60300831;-5573359,894;7,63E+13;;;;275;0,984013325;0,000672737;0,5749102;-32,86188273;-166,7975009;-2326,800115
;276;0,08719991;5,74E-09;1;-5,60300831;-5804274,824;8,82E+13;;;;276;0,983916381;0,00067352;0,5748978;-32,99034353;-166,7853569;-2324,432024
;277;0,08719991;5,17E-09;1;-5,60300831;-6044755,423;1,02E+14;;;;277;0,983819338;0,000674291;0,5748858;-33,11881319;-166,7731738;-2322,103824
;278;0,08719991;4,66E-09;1;-5,60300831;-6295197,945;1,18E+14;;;;278;0,983722199;0,000675049;0,5748744;-33,24729134;-166,7609522;-2319,814952
;279;0,087199909;4,20E-09;1;-5,60300831;-6556015,061;1,36E+14;;;;279;0,983624964;0,000675794;0,5748633;-33,37577763;-166,7486926;-2317,564853
;280;0,087199909;3,78E-09;1;-5,60300831;-6827636,536;1,57E+14;;;;280;0,983527637;0,000676527;0,5748528;-33,50427171;-166,7363956;-2315,352981
;281;0,087199909;3,41E-09;1;-5,60300831;-7110509,937;1,82E+14;;;;281;0,983430218;0,000677248;0,5748427;-33,63277323;-166,7240616;-2313,178796
;282;0,087199909;3,07E-09;1;-5,60300831;-7405101,374;2,10E+14;;;;282;0,983332709;0,000677956;0,5748332;-33,76128183;-166,7116913;-2311,041767
;283;0,087199909;2,77E-09;1;-5,60300831;-7711896,263;2,43E+14;;;;283;0,983235112;0,000678653;0,574824;-33,88979718;-166,699285;-2308,941369
;284;0,087199909;2,49E-09;1;-5,60300831;-8031400,129;2,81E+14;;;;284;0,983137428;0,000679337;0,5748154;-34,01831894;-166,6868433;-2306,877085
;285;0,087199909;2,25E-09;1;-5,60300831;-8364139,437;3,25E+14;;;;285;0,983039659;0,00068001;0,5748071;-34,14684678;-166,6743667;-2304,848406
;286;0,087199909;2,02E-09;1;-5,60300831;-8710662,464;3,75E+14;;;;286;0,982941806;0,000680671;0,5747994;-34,27538034;-166,6618557;-2302,854828
;287;0,087199909;1,82E-09;1;-5,60300831;-9071540,197;4,34E+14;;;;287;0,982843871;0,00068132;0,5747921;-34,40391931;-166,6493107;-2300,895857
;288;0,087199909;1,64E-09;1;-5,60300831;-9447367,274;5,01E+14;;;;288;0,982745856;0,000681958;0,5747852;-34,53246336;-166,6367323;-2298,971002
;289;0,087199908;1,48E-09;1;-5,60300831;-9838762,97;5,79E+14;;;;289;0,982647762;0,000682585;0,5747788;-34,66101217;-166,6241209;-2297,079781
;290;0,087199908;1,33E-09;1;-5,60300831;-10246372,21;6,70E+14;;;;290;0,982549591;0,0006832;0,5747729;-34,7895654;-166,6114771;-2295,221718
;291;0,087199908;1,20E-09;1;-5,60300831;-10670866,64;7,74E+14;;;;291;0,982451343;0,000683804;0,5747672;-34,91812275;-166,5988012;-2293,396344
;292;0,087199908;1,08E-09;1;-5,60300831;-11112945,71;8,95E+14;;;;292;0,982353022;0,000684397;0,5747622;-35,04668389;-166,5860938;-2291,603195
;293;0,087199908;1,00E-09;0,7660882;-5,60300831;-11463966,38;1,00E+15;;;;293;0,982254627;0,000684979;0,5747574;-35,17524851;-166,5733553;-2289,841815
;294;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;294;0,982156161;0,00068555;0,5747531;-35,3038163;-166,5605862;-2288,111751
;295;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;295;0,982057624;0,000686111;0,5747493;-35,43238696;-166,5477869;-2286,41256
;296;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;296;0,981959019;0,000686661;0,5747458;-35,56096018;-166,534958;-2284,7438
;297;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;297;0,981860347;0,0006872;0,5747427;-35,68953566;-166,5220998;-2283,10504
;298;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;298;0,981761608;0,000687729;0,5747401;-35,81811309;-166,5092127;-2281,49585
;299;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;299;0,981662806;0,000688247;0,5747379;-35,94669219;-166,4962974;-2279,915809
;300;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;300;0,98156394;0,000688756;0,574736;-36,07527266;-166,483354;-2278,364499
;301;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;301;0,981465012;0,000689254;0,5747346;-36,2038542;-166,4703832;-2276,841509
;302;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;302;0,981366024;0,000689742;0,5747335;-36,33243654;-166,4573854;-2275,346431
;303;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;303;0,981266977;0,000690221;0,5747328;-36,46101937;-166,4443609;-2273,878865
;304;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;304;0,981167871;0,000690689;0,5747325;-36,58960243;-166,4313102;-2272,438414
;305;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;305;0,98106871;0,000691148;0,5747326;-36,71818543;-166,4182337;-2271,024686
;306;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;306;0,980969493;0,000691598;0,574733;-36,84676809;-166,4051319;-2269,637295
;307;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;307;0,980870221;0,000692038;0,5747339;-36,97535014;-166,3920051;-2268,275859
;308;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;308;0,980770898;0,000692468;0,5747351;-37,1039313;-166,3788537;-2266,940001
;309;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;309;0,980671522;0,00069289;0,5747366;-37,2325113;-166,3656783;-2265,629347
;310;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;310;0,980572096;0,000693302;0,5747386;-37,36108988;-166,3524791;-2264,34353
;311;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;311;0,980472621;0,000693705;0,5747408;-37,48966676;-166,3392565;-2263,082186
;312;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;312;0,980373098;0,000694099;0,5747435;-37,6182417;-166,3260111;-2261,844955
;313;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;313;0,980273528;0,000694484;0,5747465;-37,74681441;-166,3127431;-2260,631482
;314;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;314;0,980173913;0,000694861;0,5747498;-37,87538466;-166,2994529;-2259,441417
;315;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;315;0,980074253;0,000695229;0,5747535;-38,00395218;-166,286141;-2258,274411
;316;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;316;0,979974549;0,000695588;0,5747576;-38,13251671;-166,2728077;-2257,130122
;317;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;317;0,979874803;0,000695939;0,5747619;-38,26107801;-166,2594534;-2256,008212
;318;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;318;0,979775016;0,000696281;0,5747666;-38,38963583;-166,2460786;-2254,908344
;319;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;319;0,97967519;0,000696615;0,5747717;-38,51818991;-166,2326834;-2253,830187
;320;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;320;0,979575324;0,000696942;0,574777;-38,64674002;-166,2192684;-2252,773414
;321;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;321;0,97947542;0,00069726;0,5747827;-38,77528591;-166,2058339;-2251,737701
;322;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;322;0,979375479;0,00069757;0,5747888;-38,90382734;-166,1923803;-2250,722727
;323;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;323;0,979275502;0,000697872;0,5747951;-39,03236408;-166,1789079;-2249,728175
;324;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;324;0,97917549;0,000698166;0,5748018;-39,16089588;-166,1654171;-2248,753732
;325;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;325;0,979075445;0,000698453;0,5748088;-39,28942251;-166,1519083;-2247,799088
;326;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;326;0,978975367;0,000698732;0,5748161;-39,41794375;-166,1383818;-2246,863935
;327;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;327;0,978875256;0,000699004;0,5748237;-39,54645935;-166,1248379;-2245,94797
;328;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;328;0,978775115;0,000699269;0,5748316;-39,6749691;-166,1112771;-2245,050892
;329;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;329;0,978674944;0,000699526;0,5748398;-39,80347276;-166,0976996;-2244,172405
;330;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;330;0,978574744;0,000699776;0,5748484;-39,93197012;-166,0841058;-2243,312214
;331;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;331;0,978474516;0,000700018;0,5748571;-40,06046094;-166,0704961;-2242,470028
;332;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;332;0,978374261;0,000700254;0,5748664;-40,18894501;-166,0568708;-2241,645558
;333;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;333;0,978273979;0,000700483;0,5748757;-40,31742212;-166,0432301;-2240,838519
;334;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;334;0,978173672;0,000700705;0,5748855;-40,44589203;-166,0295746;-2240,048629
;335;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;335;0,97807334;0,000700921;0,5748954;-40,57435455;-166,0159044;-2239,275607
;336;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;336;0,977972985;0,000701129;0,5749058;-40,70280946;-166,00222;-2238,519177
;337;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;337;0,977872607;0,000701331;0,5749163;-40,83125654;-165,9885216;-2237,779064
;338;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;338;0,977772207;0,000701527;0,5749273;-40,95969558;-165,9748096;-2237,054995
;339;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;339;0,977671786;0,000701717;0,5749383;-41,08812639;-165,9610843;-2236,346703
;340;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;340;0,977571345;0,0007019;0,5749498;-41,21654874;-165,947346;-2235,653919
;341;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;341;0,977470884;0,000702076;0,5749615;-41,34496245;-165,933595;-2234,976379
;342;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;342;0,977370404;0,000702247;0,5749735;-41,4733673;-165,9198317;-2234,313822
;343;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;343;0,977269906;0,000702412;0,5749857;-41,6017631;-165,9060564;-2233,665988
;344;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;344;0,977169391;0,000702571;0,5749982;-41,73014964;-165,8922694;-2233,032618
;345;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;345;0,97706886;0,000702724;0,575011;-41,85852673;-165,8784709;-2232,413459
;346;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;346;0,976968313;0,000702871;0,5750241;-41,98689417;-165,8646614;-2231,808257
;347;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;347;0,976867751;0,000703013;0,5750374;-42,11525178;-165,850841;-2231,216761
;348;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;348;0,976767175;0,000703149;0,575051;-42,24359934;-165,8370102;-2230,638723
;349;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;349;0,976666585;0,000703279;0,5750648;-42,37193668;-165,8231692;-2230,073896
;350;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;350;0,976565983;0,000703405;0,5750789;-42,5002636;-165,8093183;-2229,522034
;351;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;351;0,976465368;0,000703524;0,5750933;-42,62857992;-165,7954578;-2228,982896
;352;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;352;0,976364741;0,000703639;0,5751078;-42,75688544;-165,781588;-2228,45624
;353;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;353;0,976264104;0,000703748;0,5751228;-42,88517999;-165,7677093;-2227,941828
;354;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;354;0,976163457;0,000703853;0,5751378;-43,01346337;-165,7538218;-2227,439422
;355;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;355;0,9760628;0,000703952;0,5751532;-43,14173541;-165,7399259;-2226,948787
;356;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;356;0,975962134;0,000704046;0,5751688;-43,26999592;-165,7260219;-2226,469689
;357;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;357;0,97586146;0,000704136;0,5751847;-43,39824473;-165,7121101;-2226,001897
;358;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;358;0,975760778;0,000704221;0,5752007;-43,52648165;-165,6981907;-2225,545179
;359;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;359;0,975660089;0,000704301;0,5752171;-43,6547065;-165,684264;-2225,099307
;360;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;360;0,975559394;0,000704377;0,5752337;-43,78291912;-165,6703304;-2224,664054
;361;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;361;0,975458692;0,000704448;0,5752504;-43,91111932;-165,6563901;-2224,239195
;362;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;362;0,975357985;0,000704515;0,5752676;-44,03930693;-165,6424434;-2223,824504
;363;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;363;0,975257273;0,000704577;0,5752848;-44,16748178;-165,6284905;-2223,41976
;364;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;364;0,975156557;0,000704635;0,5753023;-44,2956437;-165,6145318;-2223,02474
;365;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;365;0,975055837;0,000704689;0,5753201;-44,42379251;-165,6005674;-2222,639226
;366;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;366;0,974955114;0,000704739;0,575338;-44,55192805;-165,5865978;-2222,262998
;367;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;367;0,974854387;0,000704785;0,5753563;-44,68005015;-165,5726232;-2221,895839
;368;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;368;0,974753659;0,000704827;0,5753747;-44,80815864;-165,5586437;-2221,537532
;369;0,087199908;1,00E-09;0;-5,60300831;-11463966,38;1,00E+15;;;;369;0,974652929;0,000704865;0,5753934;-44,93625336;-165,5446598;-2221,187863
