R;Laissez-faire;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i;;;Optimal-policy;t;Ns;Ni;a_t;u_t;Lambda_s;Lambda_i
;;670;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;670;0,941536289;0,001122109;0,603212395;-0,108698326;-163,0850489;-1260,361008
;;671;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;671;0,941365068;0,001132304;0,603601863;-0,108442346;-163,0998868;-1248,01436
;;672;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;672;0,941192081;0,001142789;0,603999324;-0,108181542;-163,1152119;-1235,57205
;;673;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;673;0,941017274;0,001153573;0,604405019;-0,107915783;-163,1310344;-1223,034968
;;674;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;674;0,940840592;0,00116467;0,604819195;-0,107644932;-163,1473644;-1210,404064
;;675;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;675;0,940661979;0,00117609;0,605242114;-0,107368848;-163,1642125;-1197,680356
;;676;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;676;0,940481374;0,001187846;0,605674045;-0,107087384;-163,1815896;-1184,864929
;;677;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;677;0,940298716;0,001199952;0,60611527;-0,106800389;-163,1995069;-1171,958938
;;678;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;678;0,940113939;0,001212421;0,606566084;-0,106507704;-163,2179758;-1158,963609
;;679;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;679;0,939926977;0,001225267;0,607026793;-0,106209166;-163,2370081;-1145,880244
;;680;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;680;0,939737759;0,001238506;0,607497718;-0,105904604;-163,2566162;-1132,71022
;;681;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;681;0,939546211;0,001252154;0,607979192;-0,10559384;-163,2768124;-1119,454992
;;682;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;682;0,939352258;0,001266228;0,608471566;-0,105276689;-163,2976098;-1106,116096
;;683;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;683;0,939155818;0,001280746;0,608975205;-0,10495296;-163,3190217;-1092,695151
;;684;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;684;0,93895681;0,001295727;0,609490491;-0,104622453;-163,3410619;-1079,193861
;;685;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;685;0,938755144;0,00131119;0,610017825;-0,104284958;-163,3637444;-1065,614017
;;686;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;686;0,93855073;0,001327157;0,610557626;-0,103940258;-163,387084;-1051,957501
;;687;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;687;0,938343472;0,001343649;0,611110332;-0,103588127;-163,4110957;-1038,226287
;;688;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;688;0,938133269;0,001360691;0,611676406;-0,103228327;-163,4357952;-1024,422443
;;689;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;689;0,937920018;0,001378307;0,61225633;-0,102860613;-163,4611985;-1010,548136
;;690;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;690;0,937703606;0,001396524;0,612850613;-0,102484724;-163,4873224;-996,6056316
;;691;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;691;0,93748392;0,001415369;0,613459788;-0,102100393;-163,514184;-982,5972994
;;692;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;692;0,937260836;0,001434872;0,614084416;-0,101707335;-163,5418012;-968,5256136
;;693;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;693;0,937034228;0,001455064;0,614725088;-0,101305257;-163,5701923;-954,3931569
;;694;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;694;0,936803962;0,001475979;0,615382427;-0,100893848;-163,5993766;-940,2026231
;;695;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;695;0,936569895;0,001497653;0,616057087;-0,100472785;-163,6293737;-925,9568196
;;696;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;696;0,936331879;0,001520123;0,61674976;-0,100041727;-163,6602041;-911,6586709
;;697;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;697;0,936089758;0,001543429;0,617461177;-0,099600318;-163,6918891;-897,3112211
;;698;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;698;0,935843366;0,001567615;0,618192109;-0,099148183;-163,7244508;-882,9176367
;;699;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;699;0,935592527;0,001592726;0,618943372;-0,098684929;-163,7579119;-868,4812107
;;700;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;700;0,935337058;0,001618811;0,619715828;-0,098210143;-163,7922964;-854,0053652
;;701;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;701;0,935076763;0,001645923;0,620510394;-0,097723388;-163,8276289;-839,4936542
;;702;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;702;0,934811436;0,001674118;0,621328039;-0,097224207;-163,863935;-824,9497674
;;703;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;703;0,934540857;0,001703456;0,622169793;-0,096712116;-163,9012415;-810,3775333
;;704;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;704;0,934264794;0,001734001;0,623036751;-0,096186606;-163,9395763;-795,7809224
;;705;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;705;0,933983;0,001765823;0,623930076;-0,095647139;-163,9789683;-781,1640513
;;706;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;706;0,933695214;0,001798996;0,624851009;-0,095093146;-164,0194478;-766,5311857
;;707;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;707;0,933401156;0,0018336;0,625800872;-0,094524026;-164,0610463;-751,8867441
;;708;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;708;0,93310053;0,001869722;0,626781075;-0,093939142;-164,1037967;-737,2353017
;;709;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;709;0,932793018;0,001907455;0,627793127;-0,093337822;-164,1477335;-722,581594
;;710;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;710;0,932478283;0,0019469;0,628838642;-0,092719348;-164,1928926;-707,9305207
;;711;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;711;0,932155963;0,001988166;0,629919348;-0,092082962;-164,2393117;-693,2871499
;;712;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;712;0,931825671;0,002031372;0,631037101;-0,091427858;-164,2870304;-678,6567218
;;713;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;713;0,931486992;0,002076647;0,632193896;-0,090753176;-164,33609;-664,0446529
;;714;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;714;0,931139481;0,002124129;0,633391878;-0,090058001;-164,3865339;-649,456541
;;715;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;715;0,930782661;0,002173971;0,634633361;-0,089341359;-164,4384078;-634,8981685
;;716;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;716;0,930416015;0,00222634;0,635920841;-0,088602207;-164,4917597;-620,3755079
;;717;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;717;0,930038989;0,002281417;0,63725702;-0,087839432;-164,5466402;-605,894726
;;718;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;718;0,929650982;0,002339401;0,638644828;-0,087051837;-164,6031024;-591,4621861
;;719;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;719;0,929251347;0,00240051;0,640087437;-0,08623815;-164,6612028;-577,0844601
;;720;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;720;0,928839379;0,002464984;0,6415883;-0,085396997;-164,7210005;-562,7683301
;;721;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;721;0,928414315;0,002533088;0,643151181;-0,084526903;-164,7825587;-548,5207933
;;722;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;722;0,927975324;0,002605113;0,644780195;-0,083626278;-164,8459437;-534,3490671
;;723;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;723;0,9275215;0,002681382;0,646479841;-0,082693407;-164,9112263;-520,2605965
;;724;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;724;0,927051853;0,002762255;0,648255058;-0,08172644;-164,9784816;-506,2630613
;;725;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;725;0,926565299;0,002848129;0,650111278;-0,080723371;-165,0477895;-492,3643825
;;726;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;726;0,926060646;0,002939451;0,652054492;-0,079682028;-165,1192351;-478,57273
;;727;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;727;0,925536584;0,003036718;0,65409133;-0,078600049;-165,1929096;-464,8965305
;;728;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;728;0,924991666;0,003140488;0,656229141;-0,077474864;-165,2689102;-451,3444763
;;729;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;729;0,924424289;0,003251391;0,658476109;-0,076303669;-165,3473413;-437,9255355
;;730;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;730;0,923832673;0,003370138;0,66084137;-0,075083398;-165,4283153;-424,6489619
;;731;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;731;0,923214838;0,003497533;0,663335163;-0,073810692;-165,5119528;-411,5243073
;;732;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;732;0,922568565;0,003634495;0,665969006;-0,072481863;-165,5983844;-398,5614341
;;733;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;733;0,921891367;0,003782071;0,668755909;-0,071092848;-165,6877512;-385,7705303
;;734;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;734;0,921180441;0,003941464;0,671710632;-0,069639162;-165,7802065;-373,1621262
;;735;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;735;0,920432613;0,004114063;0,674850003;-0,06811584;-165,8759171;-360,7471136
;;736;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;736;0,919644275;0,004301476;0,678193298;-0,066517372;-165,9750653;-348,5367676
;;737;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;737;0,918811306;0,004505581;0,681762761;-0,0648376;-166,0778507;-336,5427616
;;738;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;738;0,917928966;0,004728576;0,685584377;-0,063069518;-166,1844935;-324,7771338
;;739;0,087199908;1,00E-09;0;0;-11463966,38;1,00E+15;;;;739;0,91699178;0,004973059;0,68968797;-0,061205598;-166,2952364;-313,2524883
